date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
22,9,203,89,2516,.10922281,-.066688895,2808,.072293445,.031695157,.89601141,.1039886,Recreation and culture,Recreation & culture,01-11-1989,1989-11-01,1989,11,4
23,9,160,93,2623,.076923095,-.087197319,2876,.055632822,.032336578,.91203058,.0879694,Recreation and culture,Recreation & culture,01-12-1989,1989-12-01,1989,12,4
23,5,294,178,3898,.084389485,-.076543562,4370,.067276888,.040732265,.89199084,.10800915,"Furnishings, household equipment and maintenance",Household,01-12-1989,1989-12-01,1989,12,4
23,3,392,220,5460,.11123471,-.11239118,6072,.064558633,.036231883,.8992095,.10079052,Clothing and footwear,Clothing and footwear,01-12-1989,1989-12-01,1989,12,4
23,12,157,54,1715,.063079759,-.074074075,1926,.081516095,.028037382,.89044654,.10955348,Miscellaneous goods and services,Misc,01-12-1989,1989-12-01,1989,12,4
23,11,485,59,4436,.062500037,-.027027002,4980,.097389556,.01184739,.89076304,.10923695,Restaurants and Hotels,Restaurants & Hotels,01-12-1989,1989-12-01,1989,12,4
23,2,232,547,2872,.021327067,-.034782577,3651,.063544236,.14982197,.78663379,.21336621,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-12-1989,1989-12-01,1989,12,4
23,4,126,25,1150,.07142859,-.087649412,1301,.096848577,.019215988,.88393545,.11606456,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-12-1989,1989-12-01,1989,12,4
23,1,1712,885,7231,.062870294,-.075125352,9828,.17419617,.090048842,.73575497,.264245,Food and non-alcoholic beverages,Food & drink,01-12-1989,1989-12-01,1989,12,4
23,6,19,7,425,.043659538,-.045617431,451,.042128604,.015521064,.94235033,.057649668,Health,Health,01-12-1989,1989-12-01,1989,12,4
23,7,231,328,1720,.068965517,-.040816385,2279,.10136025,.14392278,.75471699,.24528302,Transport,Transport,01-12-1989,1989-12-01,1989,12,4
23,8,1,3,84,.10003341,-.15007503,88,.011363637,.03409091,.95454544,.045454547,Communication,Communication,01-12-1989,1989-12-01,1989,12,4
24,6,72,5,310,.072831593,-.093152121,387,.18604651,.012919896,.80103362,.19896641,Health,Health,01-01-1990,1990-01-01,1990,1,1
24,2,761,197,2428,.037735812,-.033557016,3386,.22474897,.058180746,.71707028,.28292972,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-01-1990,1990-01-01,1990,1,1
24,3,601,857,3939,.10888883,-.1668753,5397,.11135816,.15879191,.72984993,.27015007,Clothing and footwear,Clothing and footwear,01-01-1990,1990-01-01,1990,1,1
24,7,725,104,1131,.078527749,-.060007282,1960,.36989796,.053061225,.57704079,.42295918,Transport,Transport,01-01-1990,1990-01-01,1990,1,1
24,12,185,97,1516,.077519402,-.092537105,1798,.1028921,.053948831,.84315908,.15684094,Miscellaneous goods and services,Misc,01-01-1990,1990-01-01,1990,1,1
24,5,411,537,2885,.095102035,-.09046562,3833,.10722671,.14009914,.75267416,.24732585,"Furnishings, household equipment and maintenance",Household,01-01-1990,1990-01-01,1990,1,1
24,1,1955,1001,6176,.074947812,-.066451773,9132,.21408235,.10961454,.67630309,.32369688,Food and non-alcoholic beverages,Food & drink,01-01-1990,1990-01-01,1990,1,1
24,8,8,3,61,.13897851,-.13942629,72,.11111111,.041666668,.84722221,.15277778,Communication,Communication,01-01-1990,1990-01-01,1990,1,1
24,4,145,40,976,.072709844,-.047082812,1161,.12489233,.034453057,.84065461,.15934539,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-01-1990,1990-01-01,1990,1,1
24,9,258,177,2113,.082534723,-.087197319,2548,.10125589,.069466248,.82927787,.17072213,Recreation and culture,Recreation & culture,01-01-1990,1990-01-01,1990,1,1
24,11,574,134,3865,.058823559,-.04374782,4573,.12551935,.029302428,.84517825,.15482178,Restaurants and Hotels,Restaurants & Hotels,01-01-1990,1990-01-01,1990,1,1
25,5,490,192,3424,.084806822,-.080321282,4106,.11933755,.046760838,.83390158,.16609839,"Furnishings, household equipment and maintenance",Household,01-02-1990,1990-02-01,1990,2,1
25,9,210,91,2354,.085141942,-.081140347,2655,.079096042,.034274954,.88662899,.113371,Recreation and culture,Recreation & culture,01-02-1990,1990-02-01,1990,2,1
25,11,518,83,4349,.054093581,-.055301316,4950,.10464647,.016767677,.87858588,.12141414,Restaurants and Hotels,Restaurants & Hotels,01-02-1990,1990-02-01,1990,2,1
25,1,1951,1022,6848,.07294897,-.07168553,9821,.19865595,.10406272,.69728136,.30271867,Food and non-alcoholic beverages,Food & drink,01-02-1990,1990-02-01,1990,2,1
25,12,226,53,1635,.079999991,-.071700066,1914,.11807732,.027690699,.85423195,.14576802,Miscellaneous goods and services,Misc,01-02-1990,1990-02-01,1990,2,1
25,6,38,1,367,.048524037,-.05649719,406,.093596056,.0024630541,.90394092,.096059114,Health,Health,01-02-1990,1990-02-01,1990,2,1
25,7,229,267,1567,.072054878,-.051362775,2063,.11100339,.12942317,.75957346,.24042657,Transport,Transport,01-02-1990,1990-02-01,1990,2,1
25,2,773,189,2731,.042767316,-.025031267,3693,.20931493,.051177904,.7395072,.26049283,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-02-1990,1990-02-01,1990,2,1
25,3,809,218,4917,.14851305,-.12082431,5944,.13610363,.036675639,.82722074,.17277926,Clothing and footwear,Clothing and footwear,01-02-1990,1990-02-01,1990,2,1
25,4,94,29,1123,.086108528,-.067114107,1246,.075441413,.023274478,.9012841,.098715886,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-02-1990,1990-02-01,1990,2,1
25,8,7,6,70,.11123471,-.064126074,83,.084337346,.072289154,.84337348,.15662649,Communication,Communication,01-02-1990,1990-02-01,1990,2,1
26,9,250,98,2673,.093497887,-.083645828,3021,.082754053,.03243959,.88480633,.11519364,Recreation and culture,Recreation & culture,01-03-1990,1990-03-01,1990,3,1
26,12,217,57,1942,.077220075,-.045378156,2216,.097924188,.025722021,.8763538,.12364621,Miscellaneous goods and services,Misc,01-03-1990,1990-03-01,1990,3,1
26,3,633,337,5536,.11245758,-.12515645,6506,.097294807,.05179834,.85090685,.14909315,Clothing and footwear,Clothing and footwear,01-03-1990,1990-03-01,1990,3,1
26,5,616,230,3726,.082636289,-.085130796,4572,.13473316,.050306212,.81496066,.18503937,"Furnishings, household equipment and maintenance",Household,01-03-1990,1990-03-01,1990,3,1
