item_id,description,division,spanYears,year,up,down,level,all,up12,down12,level12,all12,up_ch_median,down_ch_median,up_ch12_median,down_ch12_median,up_ch_mean,up_ch12_mean,down_ch_mean,down_ch12_mean,up_sh,down_sh,up_sh12,down_sh12,group,yearMax,rankRise,rankRiseLatest,inflationRank,up_sh12_longRun,up_ch12_longRunMean
211408,OLIVE OIL - 500ML - 1 LITRE,1,16,2022,595,92,1521,2208,1507,109,325,1941,.10793648,-.27419353,.17021282,-.14285715,.15897416,.25784034,-.24281541,-.20942865,.26947463,.041666668,.7764039,.05615662,101,2022,73,73,73,.42199317,.19522488
212709,ORANGES-CLASS 1-EACH,1,35,2022,480,368,2901,3749,1133,464,1075,2672,.1666666,-.14285709,.20000005,-.1666667,.23623726,.326518,-.17645498,-.21012594,.12803414,.098159507,.42402694,.17365269,101,2022,430,430,430,.40134743,.31758988
212409,P'PARED MASHED POTATO 400-650G,1,5,2022,331,82,2611,3024,1202,721,699,2622,.12359552,-.16666667,.20000005,-.25925928,.15749817,.32297164,-.17968412,-.26881009,.10945767,.027116403,.45842868,.27498093,101,2022,393,393,393,.290966,.2114256
210321,PACK OF 5-6 INDIVIDUAL CAKES,1,20,2022,277,174,673,1124,682,169,111,962,.33333337,-.43181819,.24999999,-.375,.50153726,.37137923,-.40916449,-.31189612,.24644127,.15480427,.70893973,.17567568,101,2022,131,131,131,.49394852,.2232645
212806,PACKET OF PEANUTS 150-300G,1,35,2022,136,61,2007,2204,863,216,844,1923,.065217391,-.25925928,.064257063,-.1538461,.16382729,.12771073,-.2266597,-.24601334,.061705988,.027676951,.44877794,.11232449,101,2022,403,403,403,.43055335,.20781995
520227,PAIN KILLER TABLETS-16-24 PACK,6,26,2022,145,90,1005,1240,302,175,577,1054,.19444452,-.193028,.19246037,-.14285715,.21771385,.25597844,-.20837139,-.22084856,.11693548,.072580643,.28652751,.16603416,601,2022,553,553,553,.38609844,.26280093
410607,PAINT BRUSH-2INCH/5CM WIDTH,4,35,2022,197,31,1038,1266,702,262,98,1062,.07142859,-.090909079,.12359555,-.24000001,.14613247,.22113189,-.11695231,-.24908249,.15560822,.024486572,.66101694,.24670433,403,2022,174,174,174,.42584214,.17034103
410639,PAINT GLOSS/EMUL 750ML-2.5LTR,4,7,2022,341,191,1128,1660,1293,123,92,1508,.10005002,-.20833333,.13177,-.11764706,.19440751,.16663226,-.20358093,-.13290697,.20542169,.11506024,.85742706,.081564985,403,2022,31,31,31,.5362789,.16264394
211510,PARMESAN CHEESE-PER KG,1,14,2022,193,22,1064,1279,586,81,345,1012,.064516127,-.037208878,.1,-.17774618,.067903124,.13717848,-.056649126,-.12289965,.15089914,.017200937,.57905138,.080039524,101,2022,254,254,254,.4088338,.12193739
430136,PATIO TABLE & CHAIRS-SEASONAL,5,18,2022,35,77,220,332,206,46,1,253,.27941176,-.25001389,.26666668,-.36984962,.30307809,.58309764,-.26282907,-.39182818,.10542168,.23192771,.81422925,.18181819,501,2022,52,52,52,.46790931,.60014802
440118,PC REPAIR,9,24,2022,17,2,1378,1397,121,40,1039,1200,.14102565,-.15000001,.125,-.33416665,.1690402,.16324119,-.15000001,-.3172006,.012168934,.0014316392,.10083333,.033333335,901,2022,589,589,589,.25004256,.24354519
211409,"PEANUT BUTTER, JAR, 225-350G",1,4,2022,383,197,1597,2177,1000,272,743,2015,.13333337,-.24242423,.11538469,-.2,.21251953,.23746778,-.24893907,-.20218079,.17593017,.090491503,.49627793,.13498759,101,2022,344,344,344,.43185291,.45717514
212718,PEARS-DESSERT-PER KG,1,35,2022,221,135,2369,2725,760,163,865,1788,.11111111,-.14423075,.19760482,-.18181822,.17993845,.23097342,-.18444341,-.21514745,.081100918,.049541283,.42505592,.091163307,101,2022,424,424,424,.44018149,.24144644
520234,PERFUME/FRAGRANCE MEN OR WOMEN,12,22,2022,242,190,754,1186,406,282,268,956,.17778754,-.2,.10394739,-.23999999,.30406335,.2561444,-.23281382,-.27141771,.20404722,.16020235,.42468619,.29497907,1201,2022,427,427,427,.43066692,.23686025
430323,PHONE NT MOBILE(SPEC DIG/ANAL),8,21,2022,130,172,1264,1566,802,215,362,1379,.1935828,-.20002,.10923362,-.30004999,.3112869,.47399157,-.21354571,-.29133248,.083014049,.10983397,.58158088,.15591007,802,2022,246,246,246,.34847316,.43018317
520136,PHOTO FRAME,12,15,2022,113,123,1426,1662,499,327,511,1337,.20013343,-.2,.25,-.16666667,.40517032,.55604595,-.20584895,-.22118346,.06799037,.074007221,.37322363,.24457741,1203,2022,485,485,485,.27986833,.51957738
212728,PINEAPPLE EACH,1,11,2022,263,115,995,1373,437,307,529,1273,.12658224,-.26086953,.18666665,-.20999998,.20744136,.20387591,-.26641858,-.21017729,.19155134,.08375819,.34328359,.24116261,101,2022,508,508,508,.26994762,.25593898
220316,PIZZA TAKEAWAY OR DELIVERED,11,23,2022,125,28,998,1151,420,140,335,895,.086956508,-.14295933,.099999987,-.20040077,.15672125,.14633121,-.21221849,-.26140592,.10860122,.024326673,.46927375,.15642458,1101,2022,379,379,379,.37448534,.13329329
210302,PLAIN BISCUITS-200-300G,1,35,2022,243,36,997,1276,839,66,174,1079,.10344829,-.10000002,.1550388,-.13333334,.12327516,.20008834,-.14193445,-.14628549,.19043887,.028213166,.7775718,.061167747,101,2022,70,70,70,.48223114,.15028599
430422,PLAIN GLASS TUMBLER,5,19,2022,146,74,1286,1506,591,177,455,1223,.24999996,-.20499998,.39999998,-.44852939,.29721558,.94614172,-.24610949,-.38392839,.096945554,.049136788,.48323795,.14472608,504,2022,357,357,357,.27214512,.7517826
630525,PLANT FOOD 800ML-2LT/500G-1.5K,9,9,2022,128,42,921,1091,669,107,153,929,.12531322,-.22222222,.17543861,-.16666667,.16407873,.23506562,-.23638281,-.28425181,.11732356,.038496792,.72012919,.11517761,903,2022,123,123,123,.42062181,.24715906
520228,PLASTERS-20-40 PACK,6,26,2022,178,100,982,1260,497,273,240,1010,.092803031,-.16363639,.1428571,-.12663753,.14762135,.19550911,-.15202138,-.16778089,.14126985,.079365082,.4920792,.27029702,601,2022,347,347,347,.31231818,.21433635
