itemname,price,p,group,newdate
Cigarettes,5060,.039999962,1,1988-06-01
Cigarettes,6070,.050000072,1,1988-06-01
Cigarettes,7080,0,1,1988-06-01
Cigarettes,8090,0,1,1988-06-01
Men's socks,10,.99000001,1,1988-06-01
Men's socks,1020,.36000001,1,1988-06-01
Men's socks,2030,.14999998,1,1988-06-01
Men's socks,3040,.25,1,1988-06-01
Men's socks,4050,.24000001,1,1988-06-01
Men's socks,5060,.0099999905,1,1988-06-01
Men's socks,6070,.5,1,1988-06-01
Men's socks,7080,.49000001,1,1988-06-01
Men's socks,8090,.5,1,1988-06-01
Lettuce,10,.40000001,1,1988-07-01
Lettuce,1020,.049999982,1,1988-07-01
Lettuce,2030,.040000021,1,1988-07-01
Lettuce,3040,.029999971,1,1988-07-01
Lettuce,4050,.020000041,1,1988-07-01
Lettuce,5060,.039999962,1,1988-07-01
Lettuce,6070,.0099999905,1,1988-07-01
Lettuce,7080,.01000005,1,1988-07-01
Lettuce,8090,.099999964,1,1988-07-01
Cigarettes,10,1.42,1,1988-07-01
Cigarettes,1020,0,1,1988-07-01
Cigarettes,2030,.0099999905,1,1988-07-01
Cigarettes,3040,.0200001,1,1988-07-01
Cigarettes,4050,.029999971,1,1988-07-01
Cigarettes,5060,.039999962,1,1988-07-01
Cigarettes,6070,.060000062,1,1988-07-01
Cigarettes,7080,0,1,1988-07-01
Cigarettes,8090,0,1,1988-07-01
Men's socks,10,.99000001,1,1988-07-01
Men's socks,1020,.36000001,1,1988-07-01
Men's socks,2030,.14999998,1,1988-07-01
Men's socks,3040,.25,1,1988-07-01
Men's socks,4050,.23000002,1,1988-07-01
Men's socks,5060,.0099999905,1,1988-07-01
Men's socks,6070,.50999999,1,1988-07-01
Men's socks,7080,.49000001,1,1988-07-01
Men's socks,8090,.50999999,1,1988-07-01
Lettuce,10,.44,1,1988-09-01
Lettuce,1020,.050000012,1,1988-09-01
Lettuce,2030,.0099999905,1,1988-09-01
Lettuce,3040,.019999981,1,1988-09-01
Lettuce,4050,.060000002,1,1988-09-01
Lettuce,5060,.0099999905,1,1988-09-01
Lettuce,6070,.030000031,1,1988-09-01
Lettuce,7080,.0099999905,1,1988-09-01
Lettuce,8090,.019999981,1,1988-09-01
Cigarettes,10,1.425,1,1988-09-01
Cigarettes,1020,.0049999952,1,1988-09-01
Cigarettes,2030,.01000011,1,1988-09-01
Cigarettes,3040,.019999981,1,1988-09-01
Cigarettes,4050,.029999971,1,1988-09-01
Cigarettes,5060,.039999962,1,1988-09-01
Cigarettes,6070,.050000072,1,1988-09-01
Cigarettes,7080,0,1,1988-09-01
Cigarettes,8090,0,1,1988-09-01
Men's socks,10,.99000001,1,1988-09-01
Men's socks,1020,.36000001,1,1988-09-01
Men's socks,2030,.14999998,1,1988-09-01
Men's socks,3040,.25,1,1988-09-01
Men's socks,4050,.20000005,1,1988-09-01
Men's socks,5060,.044999957,1,1988-09-01
Men's socks,6070,.505,1,1988-09-01
Men's socks,7080,.49000001,1,1988-09-01
Men's socks,8090,.5,1,1988-09-01
Lettuce,10,.38999999,1,1988-10-01
Lettuce,1020,.060000002,1,1988-10-01
Lettuce,2030,.050000012,1,1988-10-01
Lettuce,3040,.050000012,1,1988-10-01
Lettuce,4050,.039999962,1,1988-10-01
Lettuce,5060,.030000031,1,1988-10-01
Lettuce,6070,.019999981,1,1988-10-01
Lettuce,7080,.0099999905,1,1988-10-01
Lettuce,8090,0,1,1988-10-01
