name,price,p,newDate
Cigarettes,7080,.0200001,1988-04-01
Cigarettes,8090,0,1988-04-01
Men's socks,10,.99000001,1988-04-01
Men's socks,1020,.29999995,1988-04-01
Men's socks,2030,.21000004,1988-04-01
Men's socks,3040,.25,1988-04-01
Men's socks,4050,.20000005,1988-04-01
Men's socks,5060,.039999962,1988-04-01
Men's socks,6070,.50999999,1988-04-01
Men's socks,7080,.49000001,1988-04-01
Men's socks,8090,.41000009,1988-04-01
Lettuce,10,.64999998,1988-05-01
Lettuce,1020,.050000012,1988-05-01
Lettuce,2030,.045000017,1988-05-01
Lettuce,3040,.024999976,1988-05-01
Lettuce,4050,.020000041,1988-05-01
Lettuce,5060,0,1988-05-01
Lettuce,6070,.060000002,1988-05-01
Lettuce,7080,.039999962,1988-05-01
Lettuce,8090,.034999967,1988-05-01
Cigarettes,10,1.42,1988-05-01
Cigarettes,1020,.0099999905,1988-05-01
Cigarettes,2030,0,1988-05-01
Cigarettes,3040,.0200001,1988-05-01
Cigarettes,4050,.029999971,1988-05-01
Cigarettes,5060,.039999962,1988-05-01
Cigarettes,6070,.039999962,1988-05-01
Cigarettes,7080,.0200001,1988-05-01
Cigarettes,8090,0,1988-05-01
Men's socks,10,.99000001,1988-05-01
Men's socks,1020,.36000001,1988-05-01
Men's socks,2030,.14999998,1988-05-01
Men's socks,3040,.25,1988-05-01
Men's socks,4050,.20000005,1988-05-01
Men's socks,5060,.039999962,1988-05-01
Men's socks,6070,.50999999,1988-05-01
Men's socks,7080,.49000001,1988-05-01
Men's socks,8090,.5,1988-05-01
Lettuce,10,.49000001,1988-06-01
Lettuce,1020,.089999974,1988-06-01
Lettuce,2030,.0099999905,1988-06-01
Lettuce,3040,.060000002,1988-06-01
Lettuce,4050,.040000021,1988-06-01
Lettuce,5060,0,1988-06-01
Lettuce,6070,.060000002,1988-06-01
Lettuce,7080,.014999986,1988-06-01
Lettuce,8090,.035000026,1988-06-01
Cigarettes,10,1.42,1988-06-01
Cigarettes,1020,.0099999905,1988-06-01
Cigarettes,2030,0,1988-06-01
Cigarettes,3040,.030000091,1988-06-01
Cigarettes,4050,.029999971,1988-06-01
Cigarettes,5060,.039999962,1988-06-01
Cigarettes,6070,.050000072,1988-06-01
Cigarettes,7080,0,1988-06-01
Cigarettes,8090,0,1988-06-01
Men's socks,10,.99000001,1988-06-01
Men's socks,1020,.36000001,1988-06-01
Men's socks,2030,.14999998,1988-06-01
Men's socks,3040,.25,1988-06-01
Men's socks,4050,.24000001,1988-06-01
Men's socks,5060,.0099999905,1988-06-01
Men's socks,6070,.5,1988-06-01
Men's socks,7080,.49000001,1988-06-01
Men's socks,8090,.5,1988-06-01
Lettuce,10,.40000001,1988-07-01
Lettuce,1020,.049999982,1988-07-01
Lettuce,2030,.040000021,1988-07-01
Lettuce,3040,.029999971,1988-07-01
Lettuce,4050,.020000041,1988-07-01
Lettuce,5060,.039999962,1988-07-01
Lettuce,6070,.0099999905,1988-07-01
Lettuce,7080,.01000005,1988-07-01
Lettuce,8090,.099999964,1988-07-01
Cigarettes,10,1.42,1988-07-01
Cigarettes,1020,0,1988-07-01
Cigarettes,2030,.0099999905,1988-07-01
Cigarettes,3040,.0200001,1988-07-01
Cigarettes,4050,.029999971,1988-07-01
Cigarettes,5060,.039999962,1988-07-01
Cigarettes,6070,.060000062,1988-07-01
Cigarettes,7080,0,1988-07-01
Cigarettes,8090,0,1988-07-01
Men's socks,10,.99000001,1988-07-01
Men's socks,1020,.36000001,1988-07-01
Men's socks,2030,.14999998,1988-07-01
Men's socks,3040,.25,1988-07-01
Men's socks,4050,.23000002,1988-07-01
Men's socks,5060,.0099999905,1988-07-01
Men's socks,6070,.50999999,1988-07-01
Men's socks,7080,.49000001,1988-07-01
Men's socks,8090,.50999999,1988-07-01
Lettuce,10,.44,1988-09-01
Lettuce,1020,.050000012,1988-09-01
Lettuce,2030,.0099999905,1988-09-01
Lettuce,3040,.019999981,1988-09-01
Lettuce,4050,.060000002,1988-09-01
Lettuce,5060,.0099999905,1988-09-01
Lettuce,6070,.030000031,1988-09-01
Lettuce,7080,.0099999905,1988-09-01
Lettuce,8090,.019999981,1988-09-01
Cigarettes,10,1.425,1988-09-01
Cigarettes,1020,.0049999952,1988-09-01
Cigarettes,2030,.01000011,1988-09-01
Cigarettes,3040,.019999981,1988-09-01
Cigarettes,4050,.029999971,1988-09-01
Cigarettes,5060,.039999962,1988-09-01
Cigarettes,6070,.050000072,1988-09-01
Cigarettes,7080,0,1988-09-01
Cigarettes,8090,0,1988-09-01
Men's socks,10,.99000001,1988-09-01
Men's socks,1020,.36000001,1988-09-01
Men's socks,2030,.14999998,1988-09-01
Men's socks,3040,.25,1988-09-01
Men's socks,4050,.20000005,1988-09-01
Men's socks,5060,.044999957,1988-09-01
Men's socks,6070,.505,1988-09-01
Men's socks,7080,.49000001,1988-09-01
Men's socks,8090,.5,1988-09-01
Lettuce,10,.38999999,1988-10-01
Lettuce,1020,.060000002,1988-10-01
Lettuce,2030,.050000012,1988-10-01
Lettuce,3040,.050000012,1988-10-01
Lettuce,4050,.039999962,1988-10-01
Lettuce,5060,.030000031,1988-10-01
Lettuce,6070,.019999981,1988-10-01
Lettuce,7080,.0099999905,1988-10-01
Lettuce,8090,0,1988-10-01
Cigarettes,10,1.4299999,1988-10-01
Cigarettes,1020,.01000011,1988-10-01
Cigarettes,2030,.0099999905,1988-10-01
Cigarettes,3040,.019999981,1988-10-01
Cigarettes,4050,.019999981,1988-10-01
Cigarettes,5060,.049999952,1988-10-01
Cigarettes,6070,.040000081,1988-10-01
Cigarettes,7080,0,1988-10-01
Cigarettes,8090,.029999971,1988-10-01
Men's socks,10,.99000001,1988-10-01
Men's socks,1020,.5,1988-10-01
Men's socks,2030,.0099999905,1988-10-01
Men's socks,3040,.25,1988-10-01
Men's socks,4050,.24000001,1988-10-01
Men's socks,5060,.21000004,1988-10-01
Men's socks,6070,.29999995,1988-10-01
Men's socks,7080,.49000001,1988-10-01
Men's socks,8090,.5,1988-10-01
Lettuce,10,.5,1988-11-01
Lettuce,1020,.10000002,1988-11-01
Lettuce,2030,.049999952,1988-11-01
Lettuce,3040,.050000012,1988-11-01
Lettuce,4050,.13999999,1988-11-01
Lettuce,5060,.050000012,1988-11-01
Lettuce,6070,0,1988-11-01
Lettuce,7080,0,1988-11-01
Lettuce,8090,.060000002,1988-11-01
Cigarettes,10,1.4400001,1988-11-01
