date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
4,5,402,167,3453,.076814592,-.066182278,4022,.099950276,.041521631,.85852808,.14147191,"Furnishings, household equipment and maintenance",Household,01-05-1988,1988-05-01,1988,5,2
4,4,53,405,877,.076923005,-.065700039,1335,.039700374,.30337077,.65692884,.34307116,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1988,1988-05-01,1988,5,2
4,2,631,234,2397,.024125429,-.020319285,3262,.1934396,.071735129,.73482525,.26517475,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1988,1988-05-01,1988,5,2
5,3,351,212,5401,.097691789,-.11777778,5964,.05885312,.035546612,.90560025,.094399735,Clothing and footwear,Clothing and footwear,01-06-1988,1988-06-01,1988,6,2
5,2,343,294,2617,.028571486,-.022377668,3254,.10540873,.090350337,.80424094,.19575906,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-06-1988,1988-06-01,1988,6,2
5,5,307,200,3477,.082096562,-.077342331,3984,.077058233,.050200805,.87274098,.12725905,"Furnishings, household equipment and maintenance",Household,01-06-1988,1988-06-01,1988,6,2
5,4,62,66,1169,.050000001,-.067307673,1297,.04780262,.050886661,.90131074,.09868928,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-06-1988,1988-06-01,1988,6,2
5,8,3,11,61,.12507817,-.080032013,75,.039999999,.14666666,.81333333,.18666667,Communication,Communication,01-06-1988,1988-06-01,1988,6,2
5,9,90,84,2036,.087121159,-.090913221,2210,.040723983,.038009051,.92126697,.078733034,Recreation and culture,Recreation & culture,01-06-1988,1988-06-01,1988,6,2
5,1,1187,856,5671,.058333278,-.072898567,7714,.15387607,.11096707,.73515683,.26484314,Food and non-alcoholic beverages,Food & drink,01-06-1988,1988-06-01,1988,6,2
5,7,245,74,1043,.034616858,-.033731744,1362,.17988253,.054331865,.76578563,.2342144,Transport,Transport,01-06-1988,1988-06-01,1988,6,2
5,6,18,8,361,.049043056,-.050000027,387,.046511628,.020671835,.93281657,.067183465,Health,Health,01-06-1988,1988-06-01,1988,6,2
5,12,162,61,1477,.078467473,-.049180377,1700,.095294118,.035882354,.86882353,.13117647,Miscellaneous goods and services,Misc,01-06-1988,1988-06-01,1988,6,2
5,11,339,68,4102,.049999952,-.033119667,4509,.075182967,.015080949,.9097361,.090263918,Restaurants and Hotels,Restaurants & Hotels,01-06-1988,1988-06-01,1988,6,2
6,2,349,381,2462,.025020868,-.038610004,3192,.10933584,.1193609,.77130324,.22869673,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-07-1988,1988-07-01,1988,7,3
6,9,136,141,1847,.083340347,-.096976653,2124,.064030133,.066384181,.86958569,.13041431,Recreation and culture,Recreation & culture,01-07-1988,1988-07-01,1988,7,3
6,12,203,85,1321,.082245037,-.049662244,1609,.12616532,.052827843,.82100683,.17899317,Miscellaneous goods and services,Misc,01-07-1988,1988-07-01,1988,7,3
6,8,7,5,54,.10003341,-.13342229,66,.10606061,.075757578,.81818181,.18181819,Communication,Communication,01-07-1988,1988-07-01,1988,7,3
6,11,345,95,4022,.045454502,-.054263517,4462,.077319585,.0212909,.90138954,.098610483,Restaurants and Hotels,Restaurants & Hotels,01-07-1988,1988-07-01,1988,7,3
