quote_date,item_id,description,name5,date,price,p,keep
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,10,1.7333333,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,20,1.9791666,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,30,2.1083333,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,40,2.2874999,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,50,2.4854167,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,60,2.7125001,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,70,2.8708334,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,80,3.1458333,1
199002,220107,PUB -HOT MEAL,A. Pub Meal,25,90,3.5083332,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,10,1.5666667,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,20,1.8416667,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,30,1.9916667,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,40,2.1416667,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,50,2.3583333,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,60,2.5916667,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,70,2.7750001,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,80,3.1166668,1
199003,220107,PUB -HOT MEAL,A. Pub Meal,26,90,3.5875001,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,10,1.4958334,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,20,1.85,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,30,1.9833333,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,40,2.2375,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,50,2.425,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,60,2.6208334,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,70,2.875,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,80,3.1583333,1
199004,220107,PUB -HOT MEAL,A. Pub Meal,27,90,3.5975001,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,10,1.5479167,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,20,1.8666667,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,30,2.0062499,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,40,2.3354168,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,50,2.4916666,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,60,2.6854167,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,70,2.9416666,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,80,3.2079167,1
199005,220107,PUB -HOT MEAL,A. Pub Meal,28,90,3.6395833,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,10,1.5458333,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,20,1.8354167,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,30,2.03125,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,40,2.2979167,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,50,2.4749999,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,60,2.6395833,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,70,2.9583333,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,80,3.2354167,1
199006,220107,PUB -HOT MEAL,A. Pub Meal,29,90,3.6470833,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,10,1.5041666,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,20,1.8479166,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,30,2.0729167,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,40,2.2437501,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,50,2.4833333,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,60,2.6604166,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,70,2.875,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,80,3.2095833,1
199007,220107,PUB -HOT MEAL,A. Pub Meal,30,90,3.4541667,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,10,1.5270833,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,20,1.8645834,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,30,2.1187501,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,40,2.2458334,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,50,2.5250001,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,60,2.66875,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,70,2.8812499,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,80,3.1979167,1
199008,220107,PUB -HOT MEAL,A. Pub Meal,31,90,3.4749999,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,10,1.5833333,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,20,1.8854167,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,30,2.1220834,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,40,2.3062501,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,50,2.4916668,1
199009,220107,PUB -HOT MEAL,A. Pub Meal,32,60,2.65625,1
