itemname,price,p,group,newdate
Microwave,10,109.99,2,1989-08-01
Microwave,1020,24.959999,2,1989-08-01
Microwave,2030,15,2,1989-08-01
Microwave,3040,10.040009,2,1989-08-01
Microwave,4050,11.00499,2,1989-08-01
Microwave,5060,18.99501,2,1989-08-01
Microwave,6070,10,2,1989-08-01
Microwave,7080,30,2,1989-08-01
Microwave,8090,10,2,1989-08-01
Microwave,10,109.99,2,1989-09-01
Microwave,1020,29.010002,2,1989-09-01
Microwave,2030,10.990005,2,1989-09-01
Microwave,3040,19.009995,2,1989-09-01
Microwave,4050,5.9499969,2,1989-09-01
Microwave,5060,20.040009,2,1989-09-01
Microwave,6070,5,2,1989-09-01
Microwave,7080,30,2,1989-09-01
Microwave,8090,20,2,1989-09-01
Microwave,10,109.99,2,1989-10-01
Microwave,1020,30.000008,2,1989-10-01
Microwave,2030,9.9599915,2,1989-10-01
Microwave,3040,19.139999,2,1989-10-01
Microwave,4050,10.404999,2,1989-10-01
Microwave,5060,10.49501,2,1989-10-01
Microwave,6070,10,2,1989-10-01
Microwave,7080,29.909988,2,1989-10-01
Microwave,8090,10.090012,2,1989-10-01
Microwave,10,109.99,2,1989-11-01
Microwave,1020,29.010002,2,1989-11-01
Microwave,2030,10.990005,2,1989-11-01
Microwave,3040,20,2,1989-11-01
Microwave,4050,10,2,1989-11-01
Microwave,5060,19.009995,2,1989-11-01
Microwave,6070,.99000549,2,1989-11-01
Microwave,7080,26,2,1989-11-01
Microwave,8090,14,2,1989-11-01
Microwave,10,109.99,2,1989-12-01
Microwave,1020,26.010002,2,1989-12-01
Microwave,2030,13.990005,2,1989-12-01
Microwave,3040,20,2,1989-12-01
Microwave,4050,10,2,1989-12-01
Microwave,5060,19.485001,2,1989-12-01
Microwave,6070,.51499939,2,1989-12-01
Microwave,7080,29.584991,2,1989-12-01
Microwave,8090,10.415009,2,1989-12-01
Microwave,10,99.989998,2,1990-01-01
Microwave,1020,31.504997,2,1990-01-01
Microwave,2030,18.49501,2,1990-01-01
Microwave,3040,19.50499,2,1990-01-01
Microwave,4050,10.49501,2,1990-01-01
Microwave,5060,0,2,1990-01-01
Microwave,6070,20,2,1990-01-01
Microwave,7080,22.50499,2,1990-01-01
Microwave,8090,17.49501,2,1990-01-01
Semi skimmed milk,10,.49000001,2,1990-02-01
Semi skimmed milk,1020,.019999981,2,1990-02-01
Semi skimmed milk,2030,0,2,1990-02-01
Semi skimmed milk,3040,0,2,1990-02-01
Semi skimmed milk,4050,0,2,1990-02-01
Semi skimmed milk,5060,0,2,1990-02-01
Semi skimmed milk,6070,.019999981,2,1990-02-01
Semi skimmed milk,7080,0,2,1990-02-01
Semi skimmed milk,8090,.020000041,2,1990-02-01
Microwave,10,109.985,2,1990-02-01
Microwave,1020,20.005005,2,1990-02-01
Microwave,2030,19.959991,2,1990-02-01
Microwave,3040,10.040009,2,1990-02-01
Microwave,4050,17.434982,2,1990-02-01
Microwave,5060,2.5650177,2,1990-02-01
Microwave,6070,20,2,1990-02-01
Microwave,7080,19.485001,2,1990-02-01
Microwave,8090,20.514999,2,1990-02-01
Semi skimmed milk,10,.49000001,2,1990-03-01
Semi skimmed milk,1020,.019999981,2,1990-03-01
Semi skimmed milk,2030,0,2,1990-03-01
Semi skimmed milk,3040,0,2,1990-03-01
Semi skimmed milk,4050,0,2,1990-03-01
Semi skimmed milk,5060,0,2,1990-03-01
Semi skimmed milk,6070,.019999981,2,1990-03-01
Semi skimmed milk,7080,0,2,1990-03-01
Semi skimmed milk,8090,.020000041,2,1990-03-01
Microwave,10,99.989998,2,1990-03-01
Microwave,1020,30.000008,2,1990-03-01
Microwave,2030,19.759995,2,1990-03-01
Microwave,3040,10.240005,2,1990-03-01
Microwave,4050,10,2,1990-03-01
Microwave,5060,10,2,1990-03-01
Microwave,6070,19.979996,2,1990-03-01
Microwave,7080,18.020004,2,1990-03-01
Microwave,8090,22,2,1990-03-01
Semi skimmed milk,10,.43000001,2,1990-04-01
Semi skimmed milk,1020,.060000002,2,1990-04-01
Semi skimmed milk,2030,.019999981,2,1990-04-01
Semi skimmed milk,3040,0,2,1990-04-01
Semi skimmed milk,4050,0,2,1990-04-01
Semi skimmed milk,5060,0,2,1990-04-01
Semi skimmed milk,6070,.019999981,2,1990-04-01
Semi skimmed milk,7080,0,2,1990-04-01
Semi skimmed milk,8090,.020000041,2,1990-04-01
Microwave,10,99.989998,2,1990-04-01
Microwave,1020,20,2,1990-04-01
Microwave,2030,20.000008,2,1990-04-01
Microwave,3040,10,2,1990-04-01
Microwave,4050,20,2,1990-04-01
Microwave,5060,10,2,1990-04-01
Microwave,6070,19.009995,2,1990-04-01
Microwave,7080,.99000549,2,1990-04-01
Microwave,8090,35.009995,2,1990-04-01
Semi skimmed milk,10,.49000001,2,1990-05-01
Semi skimmed milk,1020,.019999981,2,1990-05-01
Semi skimmed milk,2030,0,2,1990-05-01
Semi skimmed milk,3040,0,2,1990-05-01
Semi skimmed milk,4050,0,2,1990-05-01
Semi skimmed milk,5060,0,2,1990-05-01
Semi skimmed milk,6070,.019999981,2,1990-05-01
Semi skimmed milk,7080,0,2,1990-05-01
Semi skimmed milk,8090,.030000031,2,1990-05-01
Microwave,10,99.989998,2,1990-05-01
Microwave,1020,29.485008,2,1990-05-01
Microwave,2030,10.514999,2,1990-05-01
Microwave,3040,19.384995,2,1990-05-01
Microwave,4050,10.615005,2,1990-05-01
Microwave,5060,9.4850006,2,1990-05-01
Microwave,6070,13.019989,2,1990-05-01
Microwave,7080,7.4950104,2,1990-05-01
Microwave,8090,39.979996,2,1990-05-01
Semi skimmed milk,10,.49000001,2,1990-06-01
Semi skimmed milk,1020,.019999981,2,1990-06-01
Semi skimmed milk,2030,0,2,1990-06-01
Semi skimmed milk,3040,0,2,1990-06-01
Semi skimmed milk,4050,0,2,1990-06-01
Semi skimmed milk,5060,0,2,1990-06-01
Semi skimmed milk,6070,.019999981,2,1990-06-01
Semi skimmed milk,7080,0,2,1990-06-01
Semi skimmed milk,8090,.020000041,2,1990-06-01
Microwave,10,99.989998,2,1990-06-01
Microwave,1020,25,2,1990-06-01
Microwave,2030,15.000008,2,1990-06-01
Microwave,3040,19.759995,2,1990-06-01
Microwave,4050,10.240005,2,1990-06-01
Microwave,5060,10,2,1990-06-01
Microwave,6070,10,2,1990-06-01
Microwave,7080,10,2,1990-06-01
Microwave,8090,40,2,1990-06-01
Semi skimmed milk,10,.49000001,2,1990-07-01
Semi skimmed milk,1020,.019999981,2,1990-07-01
Semi skimmed milk,2030,0,2,1990-07-01
Semi skimmed milk,3040,0,2,1990-07-01
Semi skimmed milk,4050,0,2,1990-07-01
Semi skimmed milk,5060,0,2,1990-07-01
Semi skimmed milk,6070,.019999981,2,1990-07-01
Semi skimmed milk,7080,0,2,1990-07-01
Semi skimmed milk,8090,.030000031,2,1990-07-01
Microwave,10,99.989998,2,1990-07-01
Microwave,1020,29.010002,2,1990-07-01
Microwave,2030,.99000549,2,1990-07-01
Microwave,3040,29.909988,2,1990-07-01
Microwave,4050,10.090012,2,1990-07-01
Microwave,5060,10,2,1990-07-01
Microwave,6070,10,2,1990-07-01
Microwave,7080,19,2,1990-07-01
Microwave,8090,41,2,1990-07-01
Semi skimmed milk,10,.49000001,2,1990-08-01
Semi skimmed milk,1020,.019999981,2,1990-08-01
Semi skimmed milk,2030,0,2,1990-08-01
Semi skimmed milk,3040,0,2,1990-08-01
Semi skimmed milk,4050,0,2,1990-08-01
Semi skimmed milk,5060,0,2,1990-08-01
Semi skimmed milk,6070,0,2,1990-08-01
Semi skimmed milk,7080,.019999981,2,1990-08-01
Semi skimmed milk,8090,.040000021,2,1990-08-01
Microwave,10,99.989998,2,1990-08-01
Microwave,1020,30.000008,2,1990-08-01
Microwave,2030,10,2,1990-08-01
Microwave,3040,10,2,1990-08-01
Microwave,4050,10,2,1990-08-01
Microwave,5060,10,2,1990-08-01
Microwave,6070,29.009995,2,1990-08-01
Microwave,7080,.99000549,2,1990-08-01
Microwave,8090,50,2,1990-08-01
Semi skimmed milk,10,.49000001,2,1990-09-01
Semi skimmed milk,1020,.019999981,2,1990-09-01
Semi skimmed milk,2030,0,2,1990-09-01
Semi skimmed milk,3040,0,2,1990-09-01
Semi skimmed milk,4050,0,2,1990-09-01
Semi skimmed milk,5060,0,2,1990-09-01
Semi skimmed milk,6070,.0099999905,2,1990-09-01
Semi skimmed milk,7080,.0099999905,2,1990-09-01
Semi skimmed milk,8090,.040000021,2,1990-09-01
Microwave,10,104.99,2,1990-09-01
Microwave,1020,25.000008,2,1990-09-01
Microwave,2030,10,2,1990-09-01
Microwave,3040,19.459991,2,1990-09-01
Microwave,4050,.54000854,2,1990-09-01
Microwave,5060,20,2,1990-09-01
Microwave,6070,19.485001,2,1990-09-01
Microwave,7080,9.9949951,2,1990-09-01
Microwave,8090,40.520004,2,1990-09-01
Semi skimmed milk,10,.5,2,1990-10-01
Semi skimmed milk,1020,.0099999905,2,1990-10-01
Semi skimmed milk,2030,.019999981,2,1990-10-01
Semi skimmed milk,3040,.01000005,2,1990-10-01
Semi skimmed milk,4050,0,2,1990-10-01
Semi skimmed milk,5060,0,2,1990-10-01
Semi skimmed milk,6070,0,2,1990-10-01
Semi skimmed milk,7080,0,2,1990-10-01
Semi skimmed milk,8090,.029999971,2,1990-10-01
Microwave,10,109.99,2,1990-10-01
Microwave,1020,20.000008,2,1990-10-01
Microwave,2030,20,2,1990-10-01
Microwave,3040,0,2,1990-10-01
Microwave,4050,10,2,1990-10-01
Microwave,5060,10,2,1990-10-01
Microwave,6070,20,2,1990-10-01
Microwave,7080,10,2,1990-10-01
Microwave,8090,39.98999,2,1990-10-01
Semi skimmed milk,10,.50999999,2,1990-11-01
Semi skimmed milk,1020,.0099999905,2,1990-11-01
Semi skimmed milk,2030,.020000041,2,1990-11-01
Semi skimmed milk,3040,0,2,1990-11-01
Semi skimmed milk,4050,0,2,1990-11-01
Semi skimmed milk,5060,0,2,1990-11-01
Semi skimmed milk,6070,0,2,1990-11-01
Semi skimmed milk,7080,.0099999905,2,1990-11-01
Semi skimmed milk,8090,.019999981,2,1990-11-01
Microwave,10,99.989998,2,1990-11-01
Microwave,1020,30.000008,2,1990-11-01
Microwave,2030,10,2,1990-11-01
Microwave,3040,10,2,1990-11-01
Microwave,4050,10,2,1990-11-01
Microwave,5060,10,2,1990-11-01
Microwave,6070,20,2,1990-11-01
Microwave,7080,10,2,1990-11-01
Microwave,8090,40,2,1990-11-01
Semi skimmed milk,10,.50999999,2,1990-12-01
Semi skimmed milk,1020,.019999981,2,1990-12-01
Semi skimmed milk,2030,.01000005,2,1990-12-01
Semi skimmed milk,3040,0,2,1990-12-01
Semi skimmed milk,4050,.019999981,2,1990-12-01
Semi skimmed milk,5060,0,2,1990-12-01
Semi skimmed milk,6070,0,2,1990-12-01
Semi skimmed milk,7080,0,2,1990-12-01
Semi skimmed milk,8090,.0099999905,2,1990-12-01
Microwave,10,102.49,2,1990-12-01
Microwave,1020,22.004997,2,1990-12-01
Microwave,2030,15.49501,2,1990-12-01
Microwave,3040,10,2,1990-12-01
Microwave,4050,10,2,1990-12-01
Microwave,5060,1.0049896,2,1990-12-01
Microwave,6070,18.99501,2,1990-12-01
Microwave,7080,20,2,1990-12-01
Microwave,8090,40,2,1990-12-01
Semi skimmed milk,10,.52999997,2,1991-01-01
Semi skimmed milk,1020,.030000031,2,1991-01-01
Semi skimmed milk,2030,0,2,1991-01-01
Semi skimmed milk,3040,0,2,1991-01-01
Semi skimmed milk,4050,0,2,1991-01-01
Semi skimmed milk,5060,0,2,1991-01-01
Semi skimmed milk,6070,0,2,1991-01-01
Semi skimmed milk,7080,0,2,1991-01-01
Semi skimmed milk,8090,.019999981,2,1991-01-01
Microwave,10,99.989998,2,1991-01-01
Microwave,1020,29.909996,2,1991-01-01
Microwave,2030,10.090012,2,1991-01-01
Microwave,3040,10,2,1991-01-01
Microwave,4050,10,2,1991-01-01
Microwave,5060,10,2,1991-01-01
Microwave,6070,10,2,1991-01-01
Microwave,7080,9.9599915,2,1991-01-01
Microwave,8090,40.040009,2,1991-01-01
Semi skimmed milk,10,.52999997,2,1991-02-01
Semi skimmed milk,1020,.025000036,2,1991-02-01
Semi skimmed milk,2030,.0049999952,2,1991-02-01
Semi skimmed milk,3040,0,2,1991-02-01
Semi skimmed milk,4050,0,2,1991-02-01
Semi skimmed milk,5060,0,2,1991-02-01
Semi skimmed milk,6070,0,2,1991-02-01
Semi skimmed milk,7080,.0049999952,2,1991-02-01
Semi skimmed milk,8090,.014999986,2,1991-02-01
Microwave,10,99.989998,2,1991-02-01
Microwave,1020,30.000008,2,1991-02-01
Microwave,2030,10,2,1991-02-01
Microwave,3040,10,2,1991-02-01
Microwave,4050,10,2,1991-02-01
Microwave,5060,3.0099945,2,1991-02-01
Microwave,6070,16.990005,2,1991-02-01
Microwave,7080,10,2,1991-02-01
Microwave,8090,40,2,1991-02-01
Semi skimmed milk,10,.52999997,2,1991-03-01
Semi skimmed milk,1020,.030000031,2,1991-03-01
Semi skimmed milk,2030,0,2,1991-03-01
Semi skimmed milk,3040,0,2,1991-03-01
Semi skimmed milk,4050,0,2,1991-03-01
Semi skimmed milk,5060,0,2,1991-03-01
Semi skimmed milk,6070,0,2,1991-03-01
Semi skimmed milk,7080,.0099999905,2,1991-03-01
Semi skimmed milk,8090,.019999981,2,1991-03-01
Microwave,10,104.99,2,1991-03-01
Microwave,1020,24.909996,2,1991-03-01
Microwave,2030,10.090012,2,1991-03-01
Microwave,3040,10,2,1991-03-01
Microwave,4050,10,2,1991-03-01
Microwave,5060,9.4850006,2,1991-03-01
Microwave,6070,10.514999,2,1991-03-01
Microwave,7080,10,2,1991-03-01
Microwave,8090,33,2,1991-03-01
Semi skimmed milk,10,.52999997,2,1991-04-01
Semi skimmed milk,1020,.01000005,2,1991-04-01
Semi skimmed milk,2030,.019999981,2,1991-04-01
Semi skimmed milk,3040,0,2,1991-04-01
Semi skimmed milk,4050,0,2,1991-04-01
Semi skimmed milk,5060,0,2,1991-04-01
Semi skimmed milk,6070,0,2,1991-04-01
Semi skimmed milk,7080,0,2,1991-04-01
Semi skimmed milk,8090,.019999981,2,1991-04-01
Microwave,10,109.99,2,1991-04-01
Microwave,1020,23.000008,2,1991-04-01
Microwave,2030,17,2,1991-04-01
Microwave,3040,10,2,1991-04-01
Microwave,4050,3.2149963,2,1991-04-01
Microwave,5060,6.7850037,2,1991-04-01
Microwave,6070,13.909988,2,1991-04-01
Microwave,7080,16.090012,2,1991-04-01
Microwave,8090,39.98999,2,1991-04-01
Semi skimmed milk,10,.52999997,2,1991-05-01
Semi skimmed milk,1020,.030000031,2,1991-05-01
Semi skimmed milk,2030,0,2,1991-05-01
Semi skimmed milk,3040,0,2,1991-05-01
Semi skimmed milk,4050,0,2,1991-05-01
Semi skimmed milk,5060,0,2,1991-05-01
Semi skimmed milk,6070,0,2,1991-05-01
Semi skimmed milk,7080,.0099999905,2,1991-05-01
Semi skimmed milk,8090,.0099999905,2,1991-05-01
Microwave,10,119.99,2,1991-05-01
Microwave,1020,10.000008,2,1991-05-01
Microwave,2030,19.98999,2,1991-05-01
Microwave,3040,10.01001,2,1991-05-01
Microwave,4050,10,2,1991-05-01
Microwave,5060,3.6899872,2,1991-05-01
Microwave,6070,11.310013,2,1991-05-01
Microwave,7080,15,2,1991-05-01
Microwave,8090,30,2,1991-05-01
Semi skimmed milk,10,.52999997,2,1991-06-01
Semi skimmed milk,1020,.030000031,2,1991-06-01
Semi skimmed milk,2030,0,2,1991-06-01
Semi skimmed milk,3040,0,2,1991-06-01
Semi skimmed milk,4050,0,2,1991-06-01
Semi skimmed milk,5060,0,2,1991-06-01
Semi skimmed milk,6070,0,2,1991-06-01
Semi skimmed milk,7080,.0099999905,2,1991-06-01
Semi skimmed milk,8090,.0099999905,2,1991-06-01
Microwave,10,119,2,1991-06-01
Microwave,1020,15.990005,2,1991-06-01
Microwave,2030,5,2,1991-06-01
Microwave,3040,19.990005,2,1991-06-01
Microwave,4050,1.4499817,2,1991-06-01
Microwave,5060,8.5600128,2,1991-06-01
Microwave,6070,13.909988,2,1991-06-01
Microwave,7080,16.090012,2,1991-06-01
Microwave,8090,10,2,1991-06-01
Semi skimmed milk,10,.52999997,2,1991-07-01
Semi skimmed milk,1020,.01000005,2,1991-07-01
Semi skimmed milk,2030,.019999981,2,1991-07-01
Semi skimmed milk,3040,0,2,1991-07-01
Semi skimmed milk,4050,0,2,1991-07-01
Semi skimmed milk,5060,0,2,1991-07-01
Semi skimmed milk,6070,0,2,1991-07-01
Semi skimmed milk,7080,.0099999905,2,1991-07-01
Semi skimmed milk,8090,.019999981,2,1991-07-01
Microwave,10,109.98,2,1991-07-01
Microwave,1020,20.010002,2,1991-07-01
Microwave,2030,10,2,1991-07-01
Microwave,3040,10,2,1991-07-01
Microwave,4050,10,2,1991-07-01
Microwave,5060,10,2,1991-07-01
Microwave,6070,14.009995,2,1991-07-01
Microwave,7080,15.990005,2,1991-07-01
Microwave,8090,20,2,1991-07-01
Semi skimmed milk,10,.52999997,2,1991-08-01
Semi skimmed milk,1020,.01000005,2,1991-08-01
Semi skimmed milk,2030,.019999981,2,1991-08-01
Semi skimmed milk,3040,0,2,1991-08-01
Semi skimmed milk,4050,0,2,1991-08-01
Semi skimmed milk,5060,0,2,1991-08-01
Semi skimmed milk,6070,0,2,1991-08-01
Semi skimmed milk,7080,.0099999905,2,1991-08-01
Semi skimmed milk,8090,.019999981,2,1991-08-01
Microwave,10,119.9,2,1991-08-01
Microwave,1020,10.090004,2,1991-08-01
Microwave,2030,19.98999,2,1991-08-01
Microwave,3040,9.0200043,2,1991-08-01
Microwave,4050,.99000549,2,1991-08-01
Microwave,5060,20,2,1991-08-01
Microwave,6070,4.9599915,2,1991-08-01
Microwave,7080,15.040009,2,1991-08-01
Microwave,8090,0,2,1991-08-01
Semi skimmed milk,10,.52999997,2,1991-09-01
