prices,obs,date,region
4543,97144,2009-03-01,North
10259,97144,2009-03-01,North West
8290,97144,2009-03-01,Yorkshire & Humber
11758,99211,2009-04-01,London
13712,99211,2009-04-01,South East
9395,99211,2009-04-01,East Anglia
4889,99211,2009-04-01,Wales
8912,99211,2009-04-01,South West
7682,99211,2009-04-01,Scotland
8394,99211,2009-04-01,Yorkshire & Humber
4675,99211,2009-04-01,North
8002,99211,2009-04-01,West Midlands
3462,99211,2009-04-01,Northern Ireland
7472,99211,2009-04-01,East Midlands
10558,99211,2009-04-01,North West
9426,100141,2009-05-01,East Anglia
3507,100141,2009-05-01,Northern Ireland
8184,100141,2009-05-01,West Midlands
7453,100141,2009-05-01,East Midlands
4957,100141,2009-05-01,Wales
11956,100141,2009-05-01,London
8992,100141,2009-05-01,South West
4709,100141,2009-05-01,North
7753,100141,2009-05-01,Scotland
8410,100141,2009-05-01,Yorkshire & Humber
13833,100141,2009-05-01,South East
10654,100141,2009-05-01,North West
10589,99984,2009-06-01,North West
9012,99984,2009-06-01,South West
4645,99984,2009-06-01,North
9377,99984,2009-06-01,East Anglia
7462,99984,2009-06-01,East Midlands
8455,99984,2009-06-01,Yorkshire & Humber
11932,99984,2009-06-01,London
7709,99984,2009-06-01,Scotland
13843,99984,2009-06-01,South East
4950,99984,2009-06-01,Wales
3444,99984,2009-06-01,Northern Ireland
8042,99984,2009-06-01,West Midlands
9089,100430,2009-07-01,South West
7776,100430,2009-07-01,Scotland
13886,100430,2009-07-01,South East
9464,100430,2009-07-01,East Anglia
8092,100430,2009-07-01,West Midlands
4962,100430,2009-07-01,Wales
4678,100430,2009-07-01,North
12043,100430,2009-07-01,London
8520,100430,2009-07-01,Yorkshire & Humber
7417,100430,2009-07-01,East Midlands
10655,100430,2009-07-01,North West
3323,100430,2009-07-01,Northern Ireland
4955,101010,2009-08-01,Wales
9248,101010,2009-08-01,South West
4737,101010,2009-08-01,North
3474,101010,2009-08-01,Northern Ireland
9499,101010,2009-08-01,East Anglia
12013,101010,2009-08-01,London
8161,101010,2009-08-01,West Midlands
8484,101010,2009-08-01,Yorkshire & Humber
10711,101010,2009-08-01,North West
7508,101010,2009-08-01,East Midlands
13920,101010,2009-08-01,South East
7775,101010,2009-08-01,Scotland
9188,102020,2009-09-01,South West
9660,102020,2009-09-01,East Anglia
12202,102020,2009-09-01,London
7533,102020,2009-09-01,East Midlands
8213,102020,2009-09-01,West Midlands
14017,102020,2009-09-01,South East
7891,102020,2009-09-01,Scotland
10906,102020,2009-09-01,North West
3532,102020,2009-09-01,Northern Ireland
8581,102020,2009-09-01,Yorkshire & Humber
5019,102020,2009-09-01,Wales
4747,102020,2009-09-01,North
7968,102962,2009-10-01,Scotland
9713,102962,2009-10-01,East Anglia
12328,102962,2009-10-01,London
10855,102962,2009-10-01,North West
8287,102962,2009-10-01,West Midlands
7679,102962,2009-10-01,East Midlands
9249,102962,2009-10-01,South West
3612,102962,2009-10-01,Northern Ireland
14182,102962,2009-10-01,South East
4825,102962,2009-10-01,North
8672,102962,2009-10-01,Yorkshire & Humber
5067,102962,2009-10-01,Wales
12372,104223,2009-11-01,London
9445,104223,2009-11-01,South West
4831,104223,2009-11-01,North
7719,104223,2009-11-01,East Midlands
8334,104223,2009-11-01,West Midlands
5174,104223,2009-11-01,Wales
10914,104223,2009-11-01,North West
14432,104223,2009-11-01,South East
8058,104223,2009-11-01,Scotland
9721,104223,2009-11-01,East Anglia
3637,104223,2009-11-01,Northern Ireland
8784,104223,2009-11-01,Yorkshire & Humber
9512,105319,2009-12-01,South West
14621,105319,2009-12-01,South East
5175,105319,2009-12-01,Wales
8400,105319,2009-12-01,West Midlands
11105,105319,2009-12-01,North West
8834,105319,2009-12-01,Yorkshire & Humber
3656,105319,2009-12-01,Northern Ireland
7709,105319,2009-12-01,East Midlands
9879,105319,2009-12-01,East Anglia
4944,105319,2009-12-01,North
8241,105319,2009-12-01,Scotland
12439,105319,2009-12-01,London
9689,101545,2010-01-01,East Anglia
4867,101545,2010-01-01,North
7335,101545,2010-01-01,East Midlands
7913,101545,2010-01-01,West Midlands
14229,101545,2010-01-01,South East
9148,101545,2010-01-01,South West
11786,101545,2010-01-01,London
7958,101545,2010-01-01,Scotland
8604,101545,2010-01-01,Yorkshire & Humber
3611,101545,2010-01-01,Northern Ireland
10679,101545,2010-01-01,North West
5007,101545,2010-01-01,Wales
13775,97889,2010-02-01,South East
4622,97889,2010-02-01,Wales
3294,97889,2010-02-01,Northern Ireland
7578,97889,2010-02-01,West Midlands
8776,97889,2010-02-01,South West
8426,97889,2010-02-01,Yorkshire & Humber
7212,97889,2010-02-01,East Midlands
11716,97889,2010-02-01,London
4592,97889,2010-02-01,North
7795,97889,2010-02-01,Scotland
10060,97889,2010-02-01,North West
9350,97889,2010-02-01,East Anglia
12182,102189,2010-03-01,London
8033,102189,2010-03-01,Scotland
14243,102189,2010-03-01,South East
9544,102189,2010-03-01,East Anglia
7590,102189,2010-03-01,East Midlands
8720,102189,2010-03-01,Yorkshire & Humber
5036,102189,2010-03-01,Wales
3538,102189,2010-03-01,Northern Ireland
9221,102189,2010-03-01,South West
7994,102189,2010-03-01,West Midlands
4690,102189,2010-03-01,North
10690,102189,2010-03-01,North West
9747,104566,2010-04-01,East Anglia
4901,104566,2010-04-01,North
5178,104566,2010-04-01,Wales
8180,104566,2010-04-01,West Midlands
8921,104566,2010-04-01,Yorkshire & Humber
3678,104566,2010-04-01,Northern Ireland
9352,104566,2010-04-01,South West
12345,104566,2010-04-01,London
14397,104566,2010-04-01,South East
7733,104566,2010-04-01,East Midlands
8347,104566,2010-04-01,Scotland
11125,104566,2010-04-01,North West
12407,105655,2010-05-01,London
3733,105655,2010-05-01,Northern Ireland
14637,105655,2010-05-01,South East
9690,105655,2010-05-01,East Anglia
8297,105655,2010-05-01,West Midlands
7777,105655,2010-05-01,East Midlands
4977,105655,2010-05-01,North
8488,105655,2010-05-01,Scotland
9076,105655,2010-05-01,Yorkshire & Humber
9399,105655,2010-05-01,South West
11259,105655,2010-05-01,North West
5247,105655,2010-05-01,Wales
12515,106532,2010-06-01,London
3775,106532,2010-06-01,Northern Ireland
7837,106532,2010-06-01,East Midlands
9791,106532,2010-06-01,East Anglia
14730,106532,2010-06-01,South East
8379,106532,2010-06-01,West Midlands
8636,106532,2010-06-01,Scotland
9105,106532,2010-06-01,Yorkshire & Humber
11233,106532,2010-06-01,North West
4986,106532,2010-06-01,North
5288,106532,2010-06-01,Wales
9534,106532,2010-06-01,South West
9647,107229,2010-07-01,South West
7943,107229,2010-07-01,East Midlands
9842,107229,2010-07-01,East Anglia
9140,107229,2010-07-01,Yorkshire & Humber
14855,107229,2010-07-01,South East
3600,107229,2010-07-01,Northern Ireland
8405,107229,2010-07-01,West Midlands
11394,107229,2010-07-01,North West
5041,107229,2010-07-01,North
5317,107229,2010-07-01,Wales
12660,107229,2010-07-01,London
8662,107229,2010-07-01,Scotland
5368,108091,2010-08-01,Wales
14918,108091,2010-08-01,South East
5038,108091,2010-08-01,North
11468,108091,2010-08-01,North West
9260,108091,2010-08-01,Yorkshire & Humber
9855,108091,2010-08-01,East Anglia
3834,108091,2010-08-01,Northern Ireland
12728,108091,2010-08-01,London
8032,108091,2010-08-01,East Midlands
9695,108091,2010-08-01,South West
8417,108091,2010-08-01,West Midlands
8755,108091,2010-08-01,Scotland
9956,108500,2010-09-01,East Anglia
8790,108500,2010-09-01,Scotland
11380,108500,2010-09-01,North West
5065,108500,2010-09-01,North
5409,108500,2010-09-01,Wales
9256,108500,2010-09-01,Yorkshire & Humber
8387,108500,2010-09-01,West Midlands
9736,108500,2010-09-01,South West
8059,108500,2010-09-01,East Midlands
3889,108500,2010-09-01,Northern Ireland
14989,108500,2010-09-01,South East
12824,108500,2010-09-01,London
15142,109466,2010-10-01,South East
8515,109466,2010-10-01,West Midlands
3991,109466,2010-10-01,Northern Ireland
9778,109466,2010-10-01,South West
5174,109466,2010-10-01,North
11576,109466,2010-10-01,North West
9362,109466,2010-10-01,Yorkshire & Humber
10069,109466,2010-10-01,East Anglia
12838,109466,2010-10-01,London
8794,109466,2010-10-01,Scotland
5476,109466,2010-10-01,Wales
8001,109466,2010-10-01,East Midlands
5180,109784,2010-11-01,North
11596,109784,2010-11-01,North West
15109,109784,2010-11-01,South East
8020,109784,2010-11-01,East Midlands
4061,109784,2010-11-01,Northern Ireland
5475,109784,2010-11-01,Wales
9807,109784,2010-11-01,South West
9380,109784,2010-11-01,Yorkshire & Humber
10129,109784,2010-11-01,East Anglia
8853,109784,2010-11-01,Scotland
12958,109784,2010-11-01,London
8414,109784,2010-11-01,West Midlands
15258,110303,2010-12-01,South East
8842,110303,2010-12-01,Scotland
4065,110303,2010-12-01,Northern Ireland
8082,110303,2010-12-01,East Midlands
9852,110303,2010-12-01,South West
9439,110303,2010-12-01,Yorkshire & Humber
13058,110303,2010-12-01,London
5507,110303,2010-12-01,Wales
10165,110303,2010-12-01,East Anglia
5192,110303,2010-12-01,North
8524,110303,2010-12-01,West Midlands
11517,110303,2010-12-01,North West
14767,107592,2011-01-01,South East
8590,107592,2011-01-01,Scotland
9642,107592,2011-01-01,South West
5090,107592,2011-01-01,North
12691,107592,2011-01-01,London
9248,107592,2011-01-01,Yorkshire & Humber
11356,107592,2011-01-01,North West
4002,107592,2011-01-01,Northern Ireland
7865,107592,2011-01-01,East Midlands
9922,107592,2011-01-01,East Anglia
5362,107592,2011-01-01,Wales
8283,107592,2011-01-01,West Midlands
12565,107243,2011-02-01,London
11062,107243,2011-02-01,North West
4317,107243,2011-02-01,Northern Ireland
7959,107243,2011-02-01,East Midlands
9273,107243,2011-02-01,Yorkshire & Humber
5409,107243,2011-02-01,Wales
10030,107243,2011-02-01,East Anglia
14317,107243,2011-02-01,South East
9564,107243,2011-02-01,South West
8440,107243,2011-02-01,Scotland
8268,107243,2011-02-01,West Midlands
5273,107243,2011-02-01,North
8582,111703,2011-03-01,West Midlands
5769,111703,2011-03-01,Wales
5488,111703,2011-03-01,North
10311,111703,2011-03-01,East Anglia
9003,111703,2011-03-01,Scotland
13079,111703,2011-03-01,London
11604,111703,2011-03-01,North West
9878,111703,2011-03-01,South West
9562,111703,2011-03-01,Yorkshire & Humber
8261,111703,2011-03-01,East Midlands
14992,111703,2011-03-01,South East
4407,111703,2011-03-01,Northern Ireland
8825,110135,2011-04-01,Scotland
11385,110135,2011-04-01,North West
9725,110135,2011-04-01,South West
8182,110135,2011-04-01,East Midlands
14910,110135,2011-04-01,South East
5691,110135,2011-04-01,Wales
5366,110135,2011-04-01,North
10182,110135,2011-04-01,East Anglia
12840,110135,2011-04-01,London
9481,110135,2011-04-01,Yorkshire & Humber
4302,110135,2011-04-01,Northern Ireland
8564,110135,2011-04-01,West Midlands
8230,110905,2011-05-01,East Midlands
9042,110905,2011-05-01,Scotland
9797,110905,2011-05-01,South West
10239,110905,2011-05-01,East Anglia
4396,110905,2011-05-01,Northern Ireland
11461,110905,2011-05-01,North West
5731,110905,2011-05-01,Wales
12789,110905,2011-05-01,London
14984,110905,2011-05-01,South East
5399,110905,2011-05-01,North
8627,110905,2011-05-01,West Midlands
9528,110905,2011-05-01,Yorkshire & Humber
5445,110923,2011-06-01,North
8161,110923,2011-06-01,East Midlands
4501,110923,2011-06-01,Northern Ireland
9005,110923,2011-06-01,Scotland
10219,110923,2011-06-01,East Anglia
12915,110923,2011-06-01,London
9451,110923,2011-06-01,Yorkshire & Humber
5756,110923,2011-06-01,Wales
11539,110923,2011-06-01,North West
8481,110923,2011-06-01,West Midlands
14965,110923,2011-06-01,South East
9781,110923,2011-06-01,South West
4324,110938,2011-07-01,Northern Ireland
8181,110938,2011-07-01,East Midlands
13075,110938,2011-07-01,London
15002,110938,2011-07-01,South East
8338,110938,2011-07-01,West Midlands
8998,110938,2011-07-01,Scotland
5811,110938,2011-07-01,Wales
5493,110938,2011-07-01,North
9460,110938,2011-07-01,Yorkshire & Humber
11516,110938,2011-07-01,North West
9788,110938,2011-07-01,South West
10248,110938,2011-07-01,East Anglia
15061,111624,2011-08-01,South East
13070,111624,2011-08-01,London
4475,111624,2011-08-01,Northern Ireland
5814,111624,2011-08-01,Wales
9452,111624,2011-08-01,South West
9584,111624,2011-08-01,Yorkshire & Humber
11559,111624,2011-08-01,North West
9158,111624,2011-08-01,Scotland
10258,111624,2011-08-01,East Anglia
8318,111624,2011-08-01,East Midlands
5488,111624,2011-08-01,North
8683,111624,2011-08-01,West Midlands
5901,112468,2011-09-01,Wales
15098,112468,2011-09-01,South East
9192,112468,2011-09-01,Scotland
10343,112468,2011-09-01,East Anglia
8368,112468,2011-09-01,East Midlands
13137,112468,2011-09-01,London
4458,112468,2011-09-01,Northern Ireland
9838,112468,2011-09-01,South West
9689,112468,2011-09-01,Yorkshire & Humber
5540,112468,2011-09-01,North
11563,112468,2011-09-01,North West
8635,112468,2011-09-01,West Midlands
9709,112689,2011-10-01,Yorkshire & Humber
10322,112689,2011-10-01,East Anglia
11590,112689,2011-10-01,North West
15085,112689,2011-10-01,South East
5538,112689,2011-10-01,North
8652,112689,2011-10-01,West Midlands
8360,112689,2011-10-01,East Midlands
4547,112689,2011-10-01,Northern Ireland
13225,112689,2011-10-01,London
9932,112689,2011-10-01,South West
5868,112689,2011-10-01,Wales
9154,112689,2011-10-01,Scotland
5540,112558,2011-11-01,North
4532,112558,2011-11-01,Northern Ireland
13177,112558,2011-11-01,London
5890,112558,2011-11-01,Wales
10290,112558,2011-11-01,East Anglia
9080,112558,2011-11-01,Scotland
9937,112558,2011-11-01,South West
8741,112558,2011-11-01,West Midlands
9558,112558,2011-11-01,Yorkshire & Humber
11595,112558,2011-11-01,North West
8378,112558,2011-11-01,East Midlands
15056,112558,2011-11-01,South East
8418,113770,2011-12-01,East Midlands
10471,113770,2011-12-01,East Anglia
13345,113770,2011-12-01,London
15164,113770,2011-12-01,South East
8860,113770,2011-12-01,West Midlands
9209,113770,2011-12-01,Scotland
9648,113770,2011-12-01,Yorkshire & Humber
9971,113770,2011-12-01,South West
5934,113770,2011-12-01,Wales
4583,113770,2011-12-01,Northern Ireland
11731,113770,2011-12-01,North West
5652,113770,2011-12-01,North
9952,112915,2012-01-01,South West
9152,112915,2012-01-01,Scotland
14986,112915,2012-01-01,South East
10441,112915,2012-01-01,East Anglia
8746,112915,2012-01-01,West Midlands
8353,112915,2012-01-01,East Midlands
5888,112915,2012-01-01,Wales
9596,112915,2012-01-01,Yorkshire & Humber
5585,112915,2012-01-01,North
11642,112915,2012-01-01,North West
13203,112915,2012-01-01,London
4585,112915,2012-01-01,Northern Ireland
9155,109908,2012-02-01,Scotland
5320,109908,2012-02-01,North
8548,109908,2012-02-01,West Midlands
12842,109908,2012-02-01,London
10245,109908,2012-02-01,East Anglia
14831,109908,2012-02-01,South East
8117,109908,2012-02-01,East Midlands
5687,109908,2012-02-01,Wales
9674,109908,2012-02-01,South West
9381,109908,2012-02-01,Yorkshire & Humber
11067,109908,2012-02-01,North West
4403,109908,2012-02-01,Northern Ireland
8318,112591,2012-03-01,East Midlands
9918,112591,2012-03-01,South West
13115,112591,2012-03-01,London
9610,112591,2012-03-01,Yorkshire & Humber
5906,112591,2012-03-01,Wales
5430,112591,2012-03-01,North
10429,112591,2012-03-01,East Anglia
15180,112591,2012-03-01,South East
9347,112591,2012-03-01,Scotland
4500,112591,2012-03-01,Northern Ireland
8765,112591,2012-03-01,West Midlands
11435,112591,2012-03-01,North West
9271,111722,2012-04-01,Scotland
5401,111722,2012-04-01,North
11424,111722,2012-04-01,North West
9867,111722,2012-04-01,South West
10354,111722,2012-04-01,East Anglia
9459,111722,2012-04-01,Yorkshire & Humber
5817,111722,2012-04-01,Wales
8257,111722,2012-04-01,East Midlands
13111,111722,2012-04-01,London
8690,111722,2012-04-01,West Midlands
14971,111722,2012-04-01,South East
4481,111722,2012-04-01,Northern Ireland
5478,112977,2012-05-01,North
8748,112977,2012-05-01,West Midlands
11560,112977,2012-05-01,North West
9249,112977,2012-05-01,Scotland
8320,112977,2012-05-01,East Midlands
10507,112977,2012-05-01,East Anglia
5840,112977,2012-05-01,Wales
15186,112977,2012-05-01,South East
9596,112977,2012-05-01,Yorkshire & Humber
4573,112977,2012-05-01,Northern Ireland
13339,112977,2012-05-01,London
9950,112977,2012-05-01,South West
8842,113464,2012-06-01,West Midlands
13361,113464,2012-06-01,London
11581,113464,2012-06-01,North West
8303,113464,2012-06-01,East Midlands
5542,113464,2012-06-01,North
4607,113464,2012-06-01,Northern Ireland
5898,113464,2012-06-01,Wales
15190,113464,2012-06-01,South East
9963,113464,2012-06-01,South West
9304,113464,2012-06-01,Scotland
10497,113464,2012-06-01,East Anglia
9673,113464,2012-06-01,Yorkshire & Humber
13260,112979,2012-07-01,London
8263,112979,2012-07-01,East Midlands
9212,112979,2012-07-01,Scotland
11576,112979,2012-07-01,North West
8752,112979,2012-07-01,West Midlands
9965,112979,2012-07-01,South West
15204,112979,2012-07-01,South East
4541,112979,2012-07-01,Northern Ireland
9694,112979,2012-07-01,Yorkshire & Humber
5919,112979,2012-07-01,Wales
5503,112979,2012-07-01,North
10437,112979,2012-07-01,East Anglia
9987,113779,2012-08-01,South West
8915,113779,2012-08-01,West Midlands
9809,113779,2012-08-01,Yorkshire & Humber
13345,113779,2012-08-01,London
9297,113779,2012-08-01,Scotland
4592,113779,2012-08-01,Northern Ireland
11630,113779,2012-08-01,North West
15229,113779,2012-08-01,South East
5489,113779,2012-08-01,North
10561,113779,2012-08-01,East Anglia
5937,113779,2012-08-01,Wales
8336,113779,2012-08-01,East Midlands
13306,113529,2012-09-01,London
9360,113529,2012-09-01,Scotland
8835,113529,2012-09-01,West Midlands
15188,113529,2012-09-01,South East
9703,113529,2012-09-01,Yorkshire & Humber
8307,113529,2012-09-01,East Midlands
9962,113529,2012-09-01,South West
4560,113529,2012-09-01,Northern Ireland
11628,113529,2012-09-01,North West
5971,113529,2012-09-01,Wales
10524,113529,2012-09-01,East Anglia
5521,113529,2012-09-01,North
5554,113193,2012-10-01,North
4589,113193,2012-10-01,Northern Ireland
8799,113193,2012-10-01,West Midlands
9232,113193,2012-10-01,Scotland
13302,113193,2012-10-01,London
5993,113193,2012-10-01,Wales
15036,113193,2012-10-01,South East
11483,113193,2012-10-01,North West
8376,113193,2012-10-01,East Midlands
9733,113193,2012-10-01,Yorkshire & Humber
10507,113193,2012-10-01,East Anglia
9923,113193,2012-10-01,South West
9136,112322,2012-11-01,Scotland
13253,112322,2012-11-01,London
5494,112322,2012-11-01,North
11383,112322,2012-11-01,North West
9882,112322,2012-11-01,South West
10426,112322,2012-11-01,East Anglia
14990,112322,2012-11-01,South East
5882,112322,2012-11-01,Wales
8257,112322,2012-11-01,East Midlands
4547,112322,2012-11-01,Northern Ireland
8626,112322,2012-11-01,West Midlands
9726,112322,2012-11-01,Yorkshire & Humber
8237,112522,2012-12-01,East Midlands
5935,112522,2012-12-01,Wales
8585,112522,2012-12-01,West Midlands
9788,112522,2012-12-01,South West
10464,112522,2012-12-01,East Anglia
9148,112522,2012-12-01,Scotland
9714,112522,2012-12-01,Yorkshire & Humber
15072,112522,2012-12-01,South East
11433,112522,2012-12-01,North West
5527,112522,2012-12-01,North
4570,112522,2012-12-01,Northern Ireland
13329,112522,2012-12-01,London
13184,112470,2013-01-01,London
8708,112470,2013-01-01,West Midlands
8271,112470,2013-01-01,East Midlands
14848,112470,2013-01-01,South East
9732,112470,2013-01-01,Yorkshire & Humber
4623,112470,2013-01-01,Northern Ireland
5944,112470,2013-01-01,Wales
9797,112470,2013-01-01,South West
9116,112470,2013-01-01,Scotland
5584,112470,2013-01-01,North
11491,112470,2013-01-01,North West
10488,112470,2013-01-01,East Anglia
8049,108915,2013-02-01,East Midlands
14452,108915,2013-02-01,South East
4417,108915,2013-02-01,Northern Ireland
9061,108915,2013-02-01,Scotland
5375,108915,2013-02-01,North
12667,108915,2013-02-01,London
9549,108915,2013-02-01,South West
5762,108915,2013-02-01,Wales
10161,108915,2013-02-01,East Anglia
10947,108915,2013-02-01,North West
8353,108915,2013-02-01,West Midlands
9411,108915,2013-02-01,Yorkshire & Humber
8340,112073,2013-03-01,East Midlands
4600,112073,2013-03-01,Northern Ireland
9771,112073,2013-03-01,South West
14796,112073,2013-03-01,South East
13065,112073,2013-03-01,London
5842,112073,2013-03-01,Wales
8660,112073,2013-03-01,West Midlands
10430,112073,2013-03-01,East Anglia
5526,112073,2013-03-01,North
9622,112073,2013-03-01,Yorkshire & Humber
11465,112073,2013-03-01,North West
9245,112073,2013-03-01,Scotland
12963,111932,2013-04-01,London
14796,111932,2013-04-01,South East
9879,111932,2013-04-01,South West
4574,111932,2013-04-01,Northern Ireland
11501,111932,2013-04-01,North West
5824,111932,2013-04-01,Wales
9170,111932,2013-04-01,Scotland
8291,111932,2013-04-01,East Midlands
8706,111932,2013-04-01,West Midlands
10391,111932,2013-04-01,East Anglia
9651,111932,2013-04-01,Yorkshire & Humber
5499,111932,2013-04-01,North
8841,112460,2013-05-01,West Midlands
9259,112460,2013-05-01,Scotland
4551,112460,2013-05-01,Northern Ireland
13039,112460,2013-05-01,London
5796,112460,2013-05-01,Wales
14901,112460,2013-05-01,South East
11610,112460,2013-05-01,North West
9600,112460,2013-05-01,Yorkshire & Humber
5527,112460,2013-05-01,North
8312,112460,2013-05-01,East Midlands
10445,112460,2013-05-01,East Anglia
9887,112460,2013-05-01,South West
10550,113182,2013-06-01,East Anglia
5610,113182,2013-06-01,North
8384,113182,2013-06-01,East Midlands
9591,113182,2013-06-01,Yorkshire & Humber
8905,113182,2013-06-01,West Midlands
14949,113182,2013-06-01,South East
5879,113182,2013-06-01,Wales
4607,113182,2013-06-01,Northern Ireland
13104,113182,2013-06-01,London
9261,113182,2013-06-01,Scotland
11739,113182,2013-06-01,North West
9883,113182,2013-06-01,South West
9331,110722,2013-07-01,Yorkshire & Humber
14762,110722,2013-07-01,South East
8239,110722,2013-07-01,East Midlands
8738,110722,2013-07-01,West Midlands
5485,110722,2013-07-01,North
9913,110722,2013-07-01,East Anglia
9726,110722,2013-07-01,South West
4530,110722,2013-07-01,Northern Ireland
11548,110722,2013-07-01,North West
5749,110722,2013-07-01,Wales
9077,110722,2013-07-01,Scotland
12949,110722,2013-07-01,London
5554,111818,2013-08-01,North
9223,111818,2013-08-01,Scotland
8698,111818,2013-08-01,West Midlands
8257,111818,2013-08-01,East Midlands
4568,111818,2013-08-01,Northern Ireland
9752,111818,2013-08-01,South West
10291,111818,2013-08-01,East Anglia
5851,111818,2013-08-01,Wales
14840,111818,2013-08-01,South East
13008,111818,2013-08-01,London
11542,111818,2013-08-01,North West
9559,111818,2013-08-01,Yorkshire & Humber
5879,111942,2013-09-01,Wales
13014,111942,2013-09-01,London
9796,111942,2013-09-01,South West
10303,111942,2013-09-01,East Anglia
14812,111942,2013-09-01,South East
8257,111942,2013-09-01,East Midlands
5504,111942,2013-09-01,North
11517,111942,2013-09-01,North West
9535,111942,2013-09-01,Yorkshire & Humber
4544,111942,2013-09-01,Northern Ireland
9280,111942,2013-09-01,Scotland
8815,111942,2013-09-01,West Midlands
9218,112357,2013-10-01,Scotland
9781,112357,2013-10-01,South West
13111,112357,2013-10-01,London
8322,112357,2013-10-01,East Midlands
5571,112357,2013-10-01,North
14775,112357,2013-10-01,South East
11553,112357,2013-10-01,North West
5865,112357,2013-10-01,Wales
10379,112357,2013-10-01,East Anglia
9609,112357,2013-10-01,Yorkshire & Humber
4611,112357,2013-10-01,Northern Ireland
8873,112357,2013-10-01,West Midlands
10285,111887,2013-11-01,East Anglia
14843,111887,2013-11-01,South East
9783,111887,2013-11-01,South West
4603,111887,2013-11-01,Northern Ireland
5554,111887,2013-11-01,North
12968,111887,2013-11-01,London
8278,111887,2013-11-01,East Midlands
9180,111887,2013-11-01,Scotland
9572,111887,2013-11-01,Yorkshire & Humber
5832,111887,2013-11-01,Wales
11494,111887,2013-11-01,North West
8853,111887,2013-11-01,West Midlands
8914,112786,2013-12-01,West Midlands
9824,112786,2013-12-01,South West
13016,112786,2013-12-01,London
8348,112786,2013-12-01,East Midlands
14923,112786,2013-12-01,South East
4652,112786,2013-12-01,Northern Ireland
9279,112786,2013-12-01,Scotland
5617,112786,2013-12-01,North
11561,112786,2013-12-01,North West
5906,112786,2013-12-01,Wales
9656,112786,2013-12-01,Yorkshire & Humber
10358,112786,2013-12-01,East Anglia
10485,113219,2014-01-01,East Anglia
13236,113219,2014-01-01,London
8903,113219,2014-01-01,West Midlands
9763,113219,2014-01-01,South West
5708,113219,2014-01-01,North
14929,113219,2014-01-01,South East
9366,113219,2014-01-01,Scotland
11432,113219,2014-01-01,North West
5991,113219,2014-01-01,Wales
4719,113219,2014-01-01,Northern Ireland
8338,113219,2014-01-01,East Midlands
9655,113219,2014-01-01,Yorkshire & Humber
4637,108434,2014-02-01,Northern Ireland
12363,108434,2014-02-01,London
5487,108434,2014-02-01,North
8574,108434,2014-02-01,West Midlands
10216,108434,2014-02-01,East Anglia
5700,108434,2014-02-01,Wales
7873,108434,2014-02-01,East Midlands
9283,108434,2014-02-01,Yorkshire & Humber
9433,108434,2014-02-01,South West
10901,108434,2014-02-01,North West
14365,108434,2014-02-01,South East
8883,108434,2014-02-01,Scotland
10443,111378,2014-03-01,East Anglia
5867,111378,2014-03-01,Wales
12787,111378,2014-03-01,London
8216,111378,2014-03-01,East Midlands
9199,111378,2014-03-01,Scotland
5582,111378,2014-03-01,North
14765,111378,2014-03-01,South East
9502,111378,2014-03-01,Yorkshire & Humber
4586,111378,2014-03-01,Northern Ireland
9728,111378,2014-03-01,South West
8700,111378,2014-03-01,West Midlands
11283,111378,2014-03-01,North West
8197,110845,2014-04-01,East Midlands
8630,110845,2014-04-01,West Midlands
10411,110845,2014-04-01,East Anglia
5539,110845,2014-04-01,North
11291,110845,2014-04-01,North West
12681,110845,2014-04-01,London
9443,110845,2014-04-01,Yorkshire & Humber
9118,110845,2014-04-01,Scotland
5869,110845,2014-04-01,Wales
4564,110845,2014-04-01,Northern Ireland
14734,110845,2014-04-01,South East
9674,110845,2014-04-01,South West
12796,111915,2014-05-01,London
9769,111915,2014-05-01,South West
9229,111915,2014-05-01,Scotland
10504,111915,2014-05-01,East Anglia
8208,111915,2014-05-01,East Midlands
4593,111915,2014-05-01,Northern Ireland
5544,111915,2014-05-01,North
5906,111915,2014-05-01,Wales
14856,111915,2014-05-01,South East
8740,111915,2014-05-01,West Midlands
9522,111915,2014-05-01,Yorkshire & Humber
11550,111915,2014-05-01,North West
8242,112673,2014-06-01,East Midlands
8710,112673,2014-06-01,West Midlands
9564,112673,2014-06-01,Yorkshire & Humber
10559,112673,2014-06-01,East Anglia
5623,112673,2014-06-01,North
9839,112673,2014-06-01,South West
9223,112673,2014-06-01,Scotland
5937,112673,2014-06-01,Wales
12946,112673,2014-06-01,London
11664,112673,2014-06-01,North West
14944,112673,2014-06-01,South East
4686,112673,2014-06-01,Northern Ireland
5497,110263,2014-07-01,North
10296,110263,2014-07-01,East Anglia
12625,110263,2014-07-01,London
14682,110263,2014-07-01,South East
4432,110263,2014-07-01,Northern Ireland
11441,110263,2014-07-01,North West
5813,110263,2014-07-01,Wales
8176,110263,2014-07-01,East Midlands
8966,110263,2014-07-01,Scotland
9380,110263,2014-07-01,Yorkshire & Humber
9702,110263,2014-07-01,South West
8573,110263,2014-07-01,West Midlands
8650,111493,2014-08-01,West Midlands
11517,111493,2014-08-01,North West
12715,111493,2014-08-01,London
4610,111493,2014-08-01,Northern Ireland
14864,111493,2014-08-01,South East
9126,111493,2014-08-01,Scotland
9465,111493,2014-08-01,Yorkshire & Humber
10426,111493,2014-08-01,East Anglia
5551,111493,2014-08-01,North
