year,price
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,6.79
1990,8.9899998
1990,8.9899998
1990,8.9899998
1990,8.9899998
1990,8.9899998
1990,8.9899998
1990,8.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,9.9899998
1990,10
1990,10
1990,10
1990,10
1990,10
1990,10
1990,10
1990,10
1990,10.19
1990,10.19
1990,10.19
1990,10.5
1990,10.5
1990,10.59
1990,10.59
1990,10.59
1990,10.59
1990,10.59
1990,10.95
1990,10.95
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,10.99
1990,11
1990,11
1990,11.12
1990,11.12
1990,11.15
1990,11.15
1990,11.15
1990,11.19
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.25
1990,11.49
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.57
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.64
1990,11.75
1990,11.75
1990,11.75
1990,11.75
1990,11.95
1990,11.95
1990,11.95
1990,11.95
1990,11.95
1990,11.98
1990,11.98
1990,11.98
1990,11.98
1990,11.98
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,11.99
1990,12
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.4
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.49
1990,12.5
1990,12.5
1990,12.5
1990,12.5
1990,12.5
1990,12.57
1990,12.57
1990,12.57
1990,12.57
1990,12.57
1990,12.57
1990,12.95
1990,12.95
1990,12.95
1990,12.95
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,12.99
1990,13.19
1990,13.4
1990,13.4
1990,13.4
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.49
1990,13.5
1990,13.5
1990,13.5
1990,13.5
1990,13.75
1990,13.75
1990,13.75
1990,13.75
1990,13.75
1990,13.81
1990,13.87
1990,13.94
1990,13.94
1990,13.95
1990,13.95
1990,13.95
1990,13.96
1990,13.96
1990,13.96
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,13.99
1990,14
1990,14
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.25
1990,14.29
1990,14.3
1990,14.3
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.36
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.49
1990,14.5
