description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
STERLING SILVER EARRINGS,.21259843,.85800487,.11333334,.63670492,520137,22.99,17,17,116,27,31,69,.66666669,-.29429075,.25,-.29429075,-.27357054,-.33765605,150,.11333334,127,.24409449,12,1203,2024,2,1,.56,.35655475,.48048273,505,234,203,169,17,24,507,429,38,55,433,.075031757,.36333585,97,70
MODEL RD VEHICLE EG HOT WHEELS,.21100917,.35185513,.04255319,.36625513,630313,2.4000001,6,27,108,23,39,47,.32813185,-.33384615,.2,-.33384615,-.315272,-.36113206,141,.19148937,109,.35779816,9,903,2024,2,1,.56,.20510288,.19703887,506,419,91,66,143,129,520,466,186,149,433,.056460056,.31142098,160,44
GRAPEFRUIT-EACH,.20930232,.065042503,.22177419,.27956504,212715,.55000001,55,7,186,45,42,128,.042553216,-.34666666,.042553216,-.076923005,-.25522369,-.11038132,248,.028225806,215,.19534884,1,101,2024,2,1,.16,.044730406,.010406801,507,86,269,375,557,195,81,406,556,438,433,.13969901,.25756723,520,447
"SETTEE,NON LEATHER - SEE HELP",.20812182,.33186808,.23222749,.37651446,430143,964.5,49,14,148,41,62,94,.1112347,-.081245199,.0989011,-.0832396,-.11864398,-.12738241,211,.066350713,197,.31472081,5,501,2024,2,1,1.14,.42922649,.3783296,508,79,129,255,161,127,115,128,69,39,433,.17175141,.20594414,384,435
KITCHEN ROLL PK OF 2-4 SPECIFY,.20731707,.25266439,.039999999,.43295848,430533,2.75,4,10,86,17,47,18,.41315791,-.13043478,.13445374,-.079365075,-.16279989,-.14855851,100,.1,82,.57317072,5,506,2024,2,1,.36000001,.15586506,.090959184,509,428,19,194,239,99,160,220,373,211,433,.13773668,.32673612,280,440
FRYING PAN 24-30CM,.20560747,.34266451,.18309858,.30556998,430423,16,26,14,102,22,49,36,.25,-.15384616,.12724106,-.2,-.22318169,-.23862535,142,.098591551,107,.45794392,5,504,2024,2,1,.5,.15278499,.17133226,510,127,42,199,152,176,367,354,227,220,433,.11595915,.29453805,293,188
NAIL VARNISH BOTTLE 6 - 14mls,.20535715,1.9439943,.041666668,.83355707,520250,3.99,5,8,107,23,18,71,1,-.1375,3.0625,-.16270038,-.16839172,-.26106769,120,.06666667,112,.16071428,12,1201,2024,2,1,.47999999,.40010738,.93311721,511,424,323,254,1,11,415,238,10,46,433,.065554485,.320288,1,250
HONEY JAR/BOTTLE 340G-454G,.205,.10786767,.03809524,.26249999,212107,2,8,53,149,41,51,108,.25,-.33333334,.093749985,-.28205132,-.25408089,-.24380827,210,.25238097,200,.255,1,101,2024,2,1,.30000001,.078749999,.032360304,512,439,191,36,498,210,382,403,510,360,433,.11233785,.27939376,395,85
SHEET OF WRAPPING PAPER,.20155039,.86240155,.048913043,.92494231,430535,.75,9,0,175,26,11,92,1,,.41666669,-.30000001,,-.36898482,184,0,129,.085271321,9,905,2024,2,1,.51999998,.48097,.44844878,513,392,418,528,16,6,523,,49,27,433,.028472314,.2974036,28,65
SQUASH/TENNIS RACQUET,.1978022,.34236124,.029411765,.29865015,630357,24.99,3,2,97,18,15,58,.20008004,-.14586112,.20008004,-.25006256,-.14586112,-.24012709,102,.019607844,91,.16483517,9,903,2024,2,1,1.04,.31059614,.35605568,514,468,312,420,153,179,371,180,80,75,433,.055841219,.34086007,144,114
VACUUM CLEANER,.19576719,.31403479,.48341233,.25435784,430355,159,102,30,79,37,120,32,.21943574,-.13482189,.25,-.28855109,-.13656852,-.26695871,211,.1421801,189,.63492066,5,503,2024,2,1,1.52,.38662392,.47733286,515,9,10,122,173,220,426,157,41,49,433,.20110968,.24010764,96,76
PLASTERS-20-40 PACK,.19480519,.20553115,.047169812,.20560859,520228,2,5,0,101,15,7,55,.090909079,,.10526323,-.13333337,,-.13265368,106,0,77,.090909094,6,601,2024,2,1,.56999999,.1171969,.11715275,516,396,406,511,291,272,129,,321,282,433,.074668571,.18804102,356,311
VEGETABLE CRISPS PACK 80-125G,.1923077,.34007043,.23493975,.54188818,212942,2,39,32,95,30,29,97,.33333334,-.22413796,.25000003,-.27272728,-.2773903,-.29663008,166,.19277108,156,.18589744,1,101,2024,2,1,.25999999,.14089093,.088418305,517,77,281,65,156,49,474,437,379,245,433,.17788099,.43416852,95,95
WALL HANGING MIRROR UPTO 1.5SQ,.19014084,1.1591829,.26704547,.43559337,520132,35,47,20,109,27,37,78,.49957153,-.10714286,.44943821,-.1438849,-.17077346,-.19902016,176,.11363637,142,.26056337,5,501,2024,2,1,.38,.16552548,.4404895,518,56,188,166,9,98,280,242,53,197,433,.10065156,.34279945,26,288
FRESH VEG-MUSHROOMS-PER KG,.18867925,.25781104,.063758388,.12612188,212520,3.5,19,12,267,50,147,68,.10210215,-.16821823,.12132354,-.047923353,-.16687089,-.090592593,298,.040268455,265,.554717,1,101,2024,2,1,.38999999,.04918753,.1005463,519,346,22,327,232,391,42,232,354,431,433,.12707925,.19596517,309,493
FITTED BED SHEET,.18354431,.55430371,.13,.34504402,430224,8.4899998,26,8,166,29,31,98,.25,-.25462964,.16666667,-.10020041,-.29786724,-.16962145,200,.039999999,158,.19620253,5,502,2024,2,1,.80000001,.27603522,.44344297,520,202,268,329,48,147,210,452,52,106,433,.10450196,.26666999,205,396
DUVET-DOUBLE TOG 10-13.5,.18333334,.21626246,.1878453,.38298595,430211,26,34,12,135,22,16,82,.50028855,-.13942307,.15927602,-.15384616,-.26136482,-.19669634,181,.066298343,120,.13333334,5,502,2024,2,1,.80000001,.30638877,.17300998,521,121,354,256,275,124,275,417,225,79,433,.109415,.24622935,222,267
COFFEE PODS PACK 8-16,.18300654,.11553098,.018181818,.12600842,213006,4.4000001,3,22,140,28,58,67,.11135858,-.27192983,.082474247,-.0625,-.27192983,-.10081097,165,.13333334,153,.37908497,1,102,2024,2,1,.25999999,.032762188,.030038053,522,503,75,134,484,393,63,426,522,475,433,.13358428,.24027777,447,471
CHILD'S PLASTIC DOLL,.1826923,.49094096,.0625,.29913989,630312,11,8,20,100,19,61,24,.27896461,-.42857143,.30792919,-.15384616,-.34781346,-.19789228,128,.15625,104,.58653843,9,903,2024,2,1,.56,.16751833,.27492693,523,354,18,102,68,178,277,483,114,193,433,.085624196,.27745959,62,265
MDF,.18085106,.18632026,.058252428,.10659134,410633,27,6,8,89,17,47,30,.056674827,-.11197927,.11113844,-.15386946,-.13117458,-.18727671,103,.077669904,94,.5,4,403,2024,2,1,.17,.018120527,.031674445,524,362,33,226,334,424,250,149,516,514,433,.14352986,.11497611,327,263
CHILDS SCOOTER AGE 5-12 YEARS,.17647059,.20116122,.034246575,.13230707,630374,35,5,26,115,21,42,56,.12503125,-.19141434,.13928458,-.26650661,-.1780065,-.26666236,146,.1780822,119,.35294119,9,903,2024,2,1,.31999999,.04233826,.064371586,525,449,93,77,301,384,425,259,427,448,433,.1239931,.2614215,271,103
POTTED SHRUB,.17142858,.39703321,.125,.18752992,630519,10,6,0,42,6,13,16,.11025642,,.35277137,-.33110368,,-.31044185,48,0,35,.37142858,9,903,2024,2,1,1.4,.26254189,.55584651,527,206,78,551,108,292,485,,25,117,433,.061023977,.38052845,44,50
HOME-BUYERS SURVEY-RSDNTL PPTY,.17142858,.086396717,.012658228,.10526316,440226,660,1,0,78,12,4,54,.10526316,,.052631579,-.1130538,,-.11208246,79,0,70,.057142857,12,1207,2024,2,1,0,0,0,526,514,464,560,536,427,88,,561,540,433,.05552597,.1188575,512,370
TOILET ROLLS,.16831683,.14811695,.027522936,.12304402,430536,2.2,3,26,80,17,73,11,.12426031,-.13636366,.14285715,-.11666664,-.12938689,-.11045346,109,.23853211,101,.7227723,12,1201,2024,2,1,1.92,.23624451,.28438452,528,477,6,42,414,397,82,146,112,129,433,.13087839,.1624047,254,365
DIAMOND SOLITAIRE RING,.16535433,.85272008,.30263159,.35761669,520135,1250,46,10,96,21,23,83,.20119119,-.2,.20168068,-.2,-.26735786,-.27746087,152,.065789476,127,.18110237,12,1203,2024,2,1,2.03,.72596186,1.7310218,529,34,288,259,19,136,445,421,1,7,433,.10656993,.3454915,138,187
PROTEIN POWDER 900G-2KG,.16216215,.10174017,.094339624,.23620856,212940,26,15,75,69,24,70,54,.2,-.21710326,.055555556,-.12476678,-.22668052,-.12443983,159,.47169811,148,.47297296,1,101,2024,2,1,.23999999,.056690052,.024417641,530,278,36,3,514,239,110,357,533,411,433,.1902981,.36934057,506,342
"BAKED BEANS, 400-425G TIN",.16129032,.072733283,0,,212603,1.4,0,61,235,45,64,170,,-.069767445,.037037,-.10000002,-.090062693,-.14734893,296,.20608108,279,.22939068,1,101,2024,2,1,.25999999,,.018910652,531,547,219,53,553,,156,76,538,,433,.10547217,.14785926,524,400
MEN'S TIE,.15384616,.70623571,.051643193,.35506886,510419,8.9899998,11,17,185,28,27,127,.20833333,-.27272728,.33333334,-.27272728,-.270955,-.27330998,213,.079812206,182,.14835165,3,301,2024,2,1,.44999999,.15978098,.31780607,534,382,333,223,28,139,438,423,92,206,433,.056857798,.4203817,49,97
FLOWER VASE,.14772727,1.2858868,.030303031,.46392855,520118,7.5,4,21,107,13,28,47,.375,-.0625,.66666669,-.15476191,-.098840252,-.18709317,132,.15909091,88,.31818181,5,504,2024,2,1,.75,.34794641,.96441507,535,466,127,99,6,84,249,87,9,58,433,.066650577,.32094473,10,262
WHOLEMEAL SLICED LOAF BRANDED,.14432989,.10052777,.026086956,.085473344,210113,1.39,3,3,109,14,53,30,.034482725,-.064748228,.03647216,-.07142859,-.074591555,-.080022946,115,.026086956,97,.54639173,1,101,2024,2,1,.68000001,.058121875,.068358883,536,482,23,384,519,467,31,53,419,406,433,.12146415,.14492159,525,454
STAINLESS STEEL CUTLERY SET,.14406779,.36952364,.16149068,.56550789,430419,15,26,24,111,17,47,54,.5,-.21052632,.20013343,-.25,-.22131193,-.31492522,161,.14906833,118,.39830509,5,504,2024,2,1,.25,.14137697,.092380911,537,155,59,113,132,39,494,352,367,244,433,.071539894,.40241402,142,116
GARDEN SPADE,.14285715,.43839675,.044776119,.13860144,630505,22.99,3,0,64,8,7,41,.13049152,,.46901184,-.12503125,,-.16773947,67,0,56,.125,5,505,2024,2,1,.60000002,.083160862,.26303807,538,403,366,559,91,372,201,,120,350,433,.066100903,.19641165,22,331
LIP GLOSS,.12396694,.29101872,.1509434,.15199468,520246,6.9899998,24,4,131,15,6,100,.045454547,-.19853899,.154717,-.23686285,-.21984956,-.21355385,159,.025157232,121,.049586777,12,1201,2024,2,1,.47999999,.072957441,.13968898,540,169,471,390,200,347,310,349,282,372,433,.095066845,.23571992,228,129
WHITE SLICED LOAF BRANDED 750G,.12149533,.16844869,0,,210111,1.4,0,2,115,13,41,53,,-.19296987,.10714284,-.10526312,-.19296987,-.085574925,117,.017094018,107,.38317758,1,101,2024,2,1,.85000002,,.14318138,541,556,71,434,371,,36,297,278,,433,.11630617,.13192977,352,389
A4 PRINTER PAPER (500 REAM),.11688311,.26743084,.1122449,.26030761,430527,6.9899998,11,2,85,9,22,46,.33388984,-.2425034,.14306152,-.12515645,-.2425034,-.16917019,98,.020408163,77,.2857143,9,905,2024,2,1,.56,.14577226,.14976127,542,237,156,411,218,212,208,388,259,236,433,.067578204,.21819782,251,330
FOOTBALL,.11494253,1.3265655,.16831683,.37895232,630336,18,17,1,83,10,18,59,.24999996,-.20025031,1.4536363,-.07692308,-.20025031,-.13080628,101,.0099009899,87,.20689656,9,903,2024,2,1,1.12,.42442662,1.4857534,543,147,249,478,4,126,126,312,4,40,433,.078955345,.34677663,2,443
HOME OFFICE DESK,.11403508,1.2432019,.1025641,1.7568634,430138,279,12,11,94,13,57,44,.14744708,-.16666667,.1627907,-.12501563,-.20334038,-.21676956,117,.094017096,114,.5,5,501,2024,2,1,.38,.66760808,.4724167,544,263,30,205,7,1,317,317,42,9,433,.11260942,.26689413,214,332
KITCH WALL UNIT WIDTH 800-1000,.11320755,.11601084,.060869563,.25883442,430139,148,7,11,97,12,37,57,.2635659,-.2,.025157232,-.050314464,-.16111338,-.096679457,115,.09565217,106,.3490566,5,501,2024,2,1,.94999999,.2458927,.11021029,545,356,97,203,482,213,55,215,335,122,433,.15220131,.24015197,528,486
FRESH DOUBLE CREAM 250ML-300ML,.11111111,.13947847,.0086956518,.16161613,211815,1.35,1,1,113,11,55,33,.16161613,-.034482807,.15384619,-.14814818,-.034482807,-.12771812,115,.0086956518,99,.55555558,1,101,2024,2,1,.44,.071111098,.061370529,546,529,21,487,440,330,118,9,436,380,433,.10481889,.13554248,229,280
PHOTO FRAME,.11009175,.54291379,.15107913,.35154951,520136,6,21,1,117,12,21,76,.24999996,-.1,.25015646,-.85000002,-.1,-.62244028,139,.0071942448,109,.19266056,12,1203,2024,2,1,.41999999,.14765079,.22802378,547,168,273,494,52,141,546,93,145,230,433,.068979062,.52664953,91,2
PLUMBER-DAYTIME HOURLY RATE,.1092437,.16171847,0,,410508,50,0,0,125,13,1,105,,,.13333334,-.090909094,,-.090909094,125,0,119,.0084033618,4,403,2024,2,1,.34999999,,.056601465,548,559,548,516,387,,43,,445,,433,.031538911,.14537281,288,421
CHILD'S BABY DOLL,.10227273,.3127459,.15789473,.082019225,630347,13.795,18,15,81,9,61,18,.07615383,-.13335556,.25012505,-.090909094,-.14599797,-.17188308,114,.13157895,88,.69318181,9,903,2024,2,1,.31999999,.026246151,.10007869,549,156,7,135,175,473,219,181,356,493,433,.10532706,.28907135,92,419
DECORATOR-DAILY RATE;SPEC HRS,.099009901,.20334128,0,,410517,150,0,0,101,10,2,89,,,.11573589,-.098484851,,-.098484851,101,0,101,.01980198,4,403,2024,2,1,.22,,.044735081,550,545,528,550,297,,58,,473,,433,.023526223,.11213303,316,405
ALUMIN COOKING FOIL 290-300MM,.085714288,.64668125,.048780486,.26363638,430505,2,4,6,72,6,39,25,.090909094,-.17471263,.75923735,-.14705881,-.20766835,-.20955774,82,.073170729,70,.55714285,5,506,2024,2,1,.36000001,.094909102,.23280525,551,394,20,242,35,208,304,328,143,325,433,.092995532,.17694815,6,285
COMPUTER GAME 2,.083333336,.94117647,.083333336,.13333334,630379,33,1,8,3,1,11,0,.13333334,-.10810811,.94117647,-.3877551,-.15122321,-.37612644,12,.66666669,12,.91666669,9,903,2024,2,1,.23999999,.032000002,.22588235,552,296,4,1,14,380,526,192,146,478,433,.25746405,.65692216,5,26
DRY SPAGHETTI OR PASTA 500G,.07253886,.23155706,.11574074,.35129884,210204,.85000002,25,3,188,14,128,51,.2,-.11111111,.26666665,-.2105263,-.23804165,-.19562781,216,.013888889,193,.66321242,1,101,2024,2,1,.17,.059720803,.039364699,553,227,8,451,264,142,269,383,489,403,433,.10262796,.24433345,84,162
E-CIG REFILL BOTTL/CART 2-10ML,.072289154,.16308287,.032786883,.11980643,320124,3.99,6,1,176,12,16,138,.14326647,-.25,.14326647,-.50125313,-.25,-.39896563,183,.0054644807,166,.096385539,2,202,2024,2,1,.17,.020367093,.027724087,554,455,401,504,382,403,534,398,524,507,433,.021422647,.23063099,248,9
SPREADABLE BUTTER,.071428575,.093597524,.28019324,.19433647,211305,3.45,58,25,124,14,148,34,.16666667,-.2,.10447766,-.22105262,-.21025905,-.22729374,207,.12077295,196,.75510204,1,101,2024,2,1,.50999999,.099111602,.047734737,555,45,5,156,526,284,344,333,468,314,433,.21361046,.33632401,359,148
SHOP MILK-WHOLE MILK-4PT/2LTR,.068627454,.15241942,.0094339624,.06896545,211709,1.45,2,6,204,14,187,3,.06896545,-.068965532,.14999998,-.12121208,-.074993081,-.11158761,212,.028301887,204,.91666669,1,101,2024,2,1,.66000003,.045517199,.10059682,556,524,3,374,404,491,87,56,353,437,433,.094833292,.091447301,242,351
CARPENTER HOURLY RATE,.05952381,.14657143,.011764706,.039999999,410518,25.709999,1,0,84,5,0,79,.039999999,,.14285715,,,,85,0,84,0,4,403,2024,2,1,.20999999,.0083999997,.030779999,557,519,554,525,419,528,,,519,533,433,.018886246,.13567559,265,
MILK SEMI-PER 2 PINTS/1.136 L,.049019609,.084075123,.0089285718,.20833333,211710,1.2,1,4,107,5,95,2,.20833333,-.12467032,.11538469,-.076923005,-.12267999,-.075959839,112,.035714287,102,.93137252,1,101,2024,2,1,2.3099999,.48124999,.19421352,558,527,2,341,540,270,26,132,192,26,433,.085739993,.077190295,317,446
KEROSENE - 1000L DELIVERED,.045454547,.053661749,.90909094,.081551418,420405,746.34003,70,5,2,3,63,0,.083450869,-.025714286,.045549192,-.069088019,-.026956387,-.067761853,77,.064935066,66,.95454544,4,405,2024,2,1,1,.081551418,.053661749,559,1,1,262,561,474,19,7,452,355,433,.51213413,.068949677,517,461
ELECTRICIAN-DAYTIME RATE/HOUR,.043478262,.1991322,0,,410509,42,0,0,140,6,4,128,,,.10476191,-.2775974,,-.26758659,140,0,138,.028985508,4,403,2024,2,1,.22,,.043809086,560,557,512,535,308,,430,,478,,433,.035994962,.12253626,357,91
BUTTER 250G SPEC COO,.019512195,.11610165,.10185185,.231831,211306,2,22,8,186,4,125,76,.13043477,-.19999999,.09080185,-.18367349,-.17727271,-.18740399,216,.037037037,205,.60975611,1,101,2024,2,1,.41999999,.097369015,.048762694,561,264,12,338,481,243,251,256,462,319,433,.12547413,.16631903,411,205
