description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
BATH SHEET,.28767124,1.3850217,.30582523,.32635763,430228,15,63,10,133,42,21,83,.25000003,-.17647059,.5,-.05882353,-.2097204,-.098687544,206,.048543688,146,.14383562,5,502,2024,2,1,.75,.24476823,1.0387663,459,31,342,303,3,162,59,331,8,124,433,.10460999,.3017838,16,479
RE-USABLE BOTTLE/MUG ADULT,.2857143,.50863731,.16826923,.24278653,520142,7,35,20,153,48,59,61,.25000003,-.125,.33333334,-.29370216,-.17457725,-.31227887,208,.096153848,168,.35119048,5,504,2024,2,1,.5,.12139326,.25431865,460,148,96,202,58,232,488,250,126,276,433,.078195654,.34955353,53,72
CURTAINS READY MADE SP'FY SIZE,.2846154,.40530249,.17449665,.1691806,430236,44.950001,26,3,120,37,38,55,.1421199,-.125,.38461539,-.093211412,-.13216193,-.090989098,149,.020134227,130,.2923077,5,502,2024,2,1,.89999998,.15226254,.36477223,461,136,148,412,105,318,44,150,74,222,433,.077668332,.34358978,33,412
ORANGES-CLASS 1-EACH,.2834008,.37864944,.071161047,.20461869,212709,.47,19,37,211,70,66,111,.12658224,-.18965515,.24999996,-.2166667,-.24255209,-.26110521,267,.13857678,247,.26720649,1,101,2024,2,1,.23999999,.049108487,.090875864,462,321,177,126,125,274,416,389,375,432,433,.18378226,.26393402,112,152
PHONE NT MOBILE(SPEC DIG/ANAL),.28244275,.49645683,.14666666,.1512205,430323,49.990002,22,43,85,37,44,50,.083347157,-.24972486,.2500625,-.16666667,-.17730661,-.18282925,150,.28666666,131,.33587787,8,802,2024,2,1,.36000001,.054439381,.17872447,463,178,111,23,63,348,242,257,216,419,433,.11857571,.30865091,93,247
CONDOMS PACK OF 3-14,.28125,.19532591,.044642858,.12609448,520230,10.745,5,7,100,27,9,60,.098999977,-.23076923,.083459742,-.21212122,-.23383226,-.2452632,112,.0625,96,.09375,6,601,2024,2,1,.41999999,.052959677,.082036883,464,405,404,270,316,392,386,377,392,424,433,.063931786,.22685488,439,160
DVD/BLU RAY PLAYER,.28,.20400071,.27333334,.10286205,630164,119,41,3,106,28,24,48,.14286734,-.13100436,.012531619,-.066379182,-.10823488,-.16685979,150,.02,100,.23999999,9,901,2024,2,1,.079999998,.0082289642,.016320057,465,51,207,415,293,431,200,105,542,534,433,.13644022,.16827822,530,469
CHILLED PIZZA EACH 300-600G,.28,.1980131,.11038961,.36274511,212939,3.75,17,16,121,49,50,76,.31666669,-.33333331,.14285715,-.10752687,-.30863905,-.14073631,154,.1038961,175,.2857143,1,101,2024,2,1,.85000002,.30833334,.16831113,466,245,157,185,309,131,142,462,234,77,433,.14697492,.37983361,263,383
WOMENS BLOUSE/SHIRT 1,.27947599,.59308577,.19678715,.43688205,510206,18,49,46,154,64,94,71,.33266667,-.13142857,.46060607,-.15319426,-.18609667,-.21953973,249,.18473895,229,.41048035,3,301,2024,2,1,.68000001,.2970798,.40329832,467,104,55,72,43,95,324,282,60,84,433,.13611269,.41978967,23,272
HIRE OF DOMES CARPET CLEANER,.27868852,.18981083,0,,410632,25,0,0,69,17,6,38,,,.1808036,-.11890869,,-.16095746,69,0,61,.098360658,5,505,2024,2,1,.2,,.037962165,468,552,399,556,327,,184,,496,,433,.049661841,.1984075,181,357
HOUSEPLANT,.27848101,.71613663,.077669904,.47941324,630507,8,8,14,81,22,15,42,.2,-.11764706,.26806152,-.11764706,-.16011158,-.18161573,103,.13592233,79,.18987341,9,903,2024,2,1,.34999999,.16779463,.25064781,469,305,277,129,27,79,238,212,128,192,433,.084745437,.32882234,83,363
TROUSERS  FOR SCHOOL 5-13 YRS,.27807486,.29778859,.12444445,.34560356,510324,8.9499998,28,18,179,52,50,85,.30000001,-.18333334,.20006672,-.26666668,-.20940781,-.24328764,225,.079999998,187,.26737967,3,301,2024,2,1,.68000001,.23501042,.20249625,470,210,175,222,189,146,381,330,180,131,433,.079051346,.31248918,145,102
BOOKCASE/FREESTAND SHELV UNIT,.2748538,.29598162,.09714286,.68029797,430133,279,17,5,153,47,68,56,.23750594,-.14285715,.18160918,-.3125,-.18245611,-.31594536,175,.028571429,171,.39766082,5,501,2024,2,1,.75999999,.51702642,.22494602,471,270,60,373,194,22,495,270,148,22,433,.10684779,.25662622,179,56
BABY WIPES 50-85,.27272728,.16087531,.028436018,.54806143,520249,1,6,4,201,54,43,101,.40476197,-.1638796,.086956546,-.25,-.21882345,-.2567659,211,.018957347,198,.21717171,12,1201,2024,2,1,.47999999,.26306948,.077220142,472,473,236,424,388,45,404,348,402,116,433,.097995304,.51991218,424,118
SCREWDRIVER,.26881722,.32258961,.05172414,.50156116,410625,4.9899998,6,0,110,25,16,52,.25084937,,.375,-.049523853,,-.086405061,116,0,93,.17204301,5,505,2024,2,1,.44999999,.22570252,.14516532,473,381,301,558,168,62,37,,271,134,433,.062433127,.17454298,37,490
COFFEE TABLE,.26785713,1.0034399,.2,.23690288,430120,299,33,17,115,45,57,66,.25,-.16666667,.16722408,-.16666667,-.18849272,-.21606685,165,.1030303,168,.3392857,5,501,2024,2,1,.38,.090023093,.38130715,474,101,107,186,11,237,314,288,67,336,433,.13274939,.24599878,192,243
ELECTRIC KETTLE - 1.5-1.7L,.26573426,.30256861,.22222222,.61837965,430307,34,38,26,107,38,68,37,.36507937,-.13207547,.13037699,-.13207547,-.16492474,-.24597763,171,.15204678,143,.47552449,5,503,2024,2,1,.47999999,.29682222,.14523293,475,84,34,109,183,28,387,223,269,85,433,.12096374,.22862735,291,313
"SMALL SAUCEPAN,MILK",.265625,.46868795,.13333334,.28496152,430407,6.9849997,16,15,89,17,29,18,.29891306,-.2,.37557316,-.2,-.22904931,-.25619847,120,.125,64,.453125,5,504,2024,2,1,.5,.14248076,.23434398,476,196,44,149,75,190,401,365,138,243,433,.090181947,.26257089,35,182
WINDOW-CLEAN 3-BED SEMI,.26490065,.21123973,.035294119,.18714987,440113,18,6,2,162,40,12,99,.17156863,-.20555556,.18695652,-.22222222,-.20555556,-.26816007,170,.011764706,151,.079470202,5,506,2024,2,1,.15000001,.028072482,.03168596,477,447,427,466,284,295,433,321,515,489,433,.031454574,.14702022,174,144
LIGHT BULB,.26229507,.26985565,.15584415,.26565066,430524,3,12,2,63,16,8,37,.25055939,-.11142857,.25055939,-.19,-.11142857,-.19958334,77,.025974026,61,.13114753,5,505,2024,2,1,.5,.13282533,.13492782,479,161,358,385,215,206,281,111,291,259,433,.043212116,.35228229,87,201
ELECTRONIC EDUCATIONAL TOY,.26229507,.20015413,.18705036,.29080153,630368,20,26,24,89,32,38,52,.21212122,-.020998271,.19949999,-.2000286,-.09234409,-.20597167,139,.17266187,122,.3114754,9,903,2024,2,1,.23999999,.069792368,.048036989,478,122,130,83,305,184,298,77,465,383,433,.11866879,.28692901,163,177
"CAR MOT TEST FEE, VAT EXEMPT",.26223776,.1478457,.033112582,.14357814,610227,48,10,2,290,75,25,186,.11964285,-.14571948,.125,-.050000001,-.14571948,-.085342862,302,.0066225166,286,.087412588,7,702,2024,2,1,.95999998,.13783501,.14193188,480,453,415,499,416,356,35,179,280,249,433,.037595283,.13071305,301,488
PLANT FOOD 800ML-2LT/500G-1.5K,.26153848,.44048926,.06329114,.16850494,630525,5.7449999,5,6,68,17,8,40,.16694492,-.17173114,.24749994,-.20040077,-.17655,-.18541147,79,.075949363,65,.12307692,9,903,2024,2,1,.30000001,.050551485,.13214679,481,350,369,232,89,322,245,253,295,429,433,.07500945,.21936516,114,175
WOMENS BASIC PLAIN T-SHIRT,.25757575,.48469055,.044642858,.50919414,510215,6,10,31,183,51,66,81,.33333334,-.11111111,.20689656,-.13811746,-.17556149,-.20360471,224,.13839285,198,.33333334,3,301,2024,2,1,.68000001,.34625202,.32958958,482,407,113,127,70,60,289,252,87,59,433,.087436326,.43888125,133,303
CHEST OF DRAWERS,.25714287,.38235843,.13541667,.48732182,430127,318.995,26,23,143,45,53,77,.24999994,-.20000418,.15483871,-.2020202,-.18025197,-.20692657,192,.11979166,175,.30285713,5,501,2024,2,1,.94999999,.46295571,.36324051,483,193,138,158,120,74,300,266,75,30,433,.15146114,.23926966,226,172
"SLEEPING BAG, ADULT",.25641027,.36778969,.15686275,.3159852,630317,34.990002,16,4,82,20,41,17,.27703613,-.16660896,.29992849,-.30307618,-.17693067,-.26373872,102,.039215688,78,.52564102,9,903,2024,2,1,.80000001,.25278816,.29423174,484,157,25,333,133,167,420,254,104,120,433,.081730813,.28387198,66,61
WASHING UP LIQUID 380-900ML,.2551724,.31390506,.11374407,.22847222,430507,1,24,31,156,37,26,82,.22499999,-.2,.24000001,-.11235951,-.18261349,-.2181187,211,.14691943,145,.17931035,5,506,2024,2,1,.36000001,.082249999,.11300582,486,233,291,117,174,248,319,271,333,353,433,.095749564,.1631258,117,372
DUVET COVER,.25342464,.61864191,.19,.52547747,430216,20,38,9,153,37,26,83,.33922416,-.2,.375,-.20599473,-.25757346,-.24652778,200,.045000002,146,.1780822,5,502,2024,2,1,.85000002,.44665587,.52584565,487,117,294,311,39,54,389,411,28,34,433,.10837924,.29845771,38,169
