description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
PACK OF 5-6 INDIVIDUAL CAKES,.88172042,.46569559,.35454544,.25811622,210321
READY-MIXED FILLER-INT USE,.87628865,.21147853,.25961539,.061178546,410602
DISHWASHER TABLETS PACK 16-45,.87619048,.1734657,.1554054,.1419844,430538
CONTINENTAL SLICED DELI MEAT,.87577641,.27921119,.2375,.16826247,211024
BANANAS-PER KG,.8753894,.14532283,.54569191,.12902196,212719
HOME KILLED BEEF-LEAN MINCE KG,.875,.19260432,.25510204,.081885308,210403
VODKA (PER NIP) SPECIFY ML,.87431693,.1315383,.2,.05289875,310302
GIN PER NIP,.87362635,.13700531,.18503937,.051468108,310316
CORN SNACK SINGLE PACK MAX 50G,.87301588,.18006942,.19480519,.11589329,210211
COOK-IN SAUCE-JAR/CAN 350-520G,.87155962,.52751547,.19379845,.31991813,212923
BRAND CHOC SWEETS 90-185G BAG,.86986303,.29543144,.17142858,.15200001,212223
PARMESAN CHEESE-PER KG,.86915886,.13264672,.21367522,.034434389,211510
FRESH FISH-SALMON FILLETS-KG,.8660714,.2557945,.47959185,.074242085,211105
P'PARED MASHED POTATO 400-650G,.86545455,.21953692,.15463917,.11533638,212409
BACON-BACK-PER KG,.86516851,.24566224,.19306931,.089084342,210808
COLD/FLU DRINK POWDER,.86250001,.16091761,.43055555,.11875077,520242
FRUIT JUICE NOT ORANGE 1L,.86138612,.24838637,.15322581,.089488856,212006
MAYONNAISE 390-500G/420-540MLS,.85795456,.4082315,.1827957,.12825088,212930
FRESH VEG-TOMATOES-PER KG,.85774058,.39889544,.27173913,.34085104,212515
BURGER IN A BUN EAT IN OR TAKE,.85645932,.23507683,.16216215,.08297608,220328
MIXER DRINK BOTTLE 1L EG TONIC,.85483873,.17170465,.1884058,.051794067,212022
IN STORE CAFETERIA MEAL,.85454547,.15930676,.013157895,.093023255,220120
FIZZY BOTTLED DRINK 500ML,.85454547,.11796082,.039682541,.10944588,212017
PRE MIXED SPIRIT 250-330ML,.85221672,.14281856,.040723983,.07523106,310430
PAINT GLOSS/EMUL 750ML-2.5LTR,.85185188,.13268226,.46451613,.23222947,410639
LIQUEUR PER NIP   SPECIFY ML,.85164833,.15536468,.19599999,.065301478,310307
FROZEN BEEFBURGERS PACK OF 4,.85148513,.33181193,.125,.11399525,210414
MUFFIN/INDIVIDUAL CAKE,.85074627,.18477362,.13513513,.072134137,220124
BOTTLED PREMIUM LAGER 4.3-7.5%,.84831458,.11646397,.20661157,.048004624,310111
SAUSAGES-PORK-PER KG,.84745765,.2562094,.19387755,.17310616,211014
FLOUR-SELF-RAISING-1.5KG,.84684682,.31363091,0,,210201
FUNERAL-CREMATION,.84375,.088948846,.15986395,.045967352,440227
"YOGHURT/FROMAGE 4-6PK, 45-125G",.84313726,.24971253,.29411766,.15490325,211807
STOUT - 4 CAN PACK,.84313726,.081845686,.030487806,.079983912,310219
VODKA-70 CL BOTTLE,.84263957,.10590387,.19597989,.16819136,310403
PUB -HOT MEAL,.84239131,.1854578,.12345679,.061530001,220107
ICE CREAM 450ML-1L,.84210527,.38292438,.24107143,.17230129,212933
WHISKY (PER NIP) SPECIFY ML,.84153003,.14257804,.2,.059184592,310301
SPREADABLE BUTTER,.84112149,.21215367,.25114155,.25919622,211305
PROTEIN POWDER 900G-2KG,.84102565,.34320453,.50710899,.11071704,212940
PLAIN BISCUITS-200-300G,.83999997,.3707127,.47058824,.15394199,210302
FRESH VEG-BROCCOLI-PER KG,.83959043,.40641093,.11011904,.23029946,212530
CANNED FRUIT-400-450G,.83870965,.15053019,.46666667,.086392917,212807
MEAT BASED SNACK PACK MAX 400G,.83582091,.17705563,.27411169,.13909858,211030
LEMONADE-2 LITRE BOTTLE,.8347826,.47813001,.2,.12205383,212008
20 FILTER - OTHER BRAND,.8347826,.026474377,.029629629,.063549086,320122
BOTTLE OF WINE 70-75CL,.83402491,.10811432,.031847134,.083606213,310315
MINERAL WATER STILL 1.5-2L,.83246076,.30579123,.29107982,.13820589,212010
CIDER 4.5%-5.5% ABV PINT/BOTTL,.83040935,.11525196,.22580644,.062764607,310114
SANDWICH-TAKE-AWAY (COLD),.83027524,.18979846,.17578125,.11012834,220303
RESTAURANT - SWEET COURSE,.82572615,.18011324,.070287541,.093407087,220122
SMOKELESS FUEL 50KG,.82499999,.29077786,.039999999,.14995234,420103
"COLA DRINK, DIET 1.25-2LTR",.82474226,.21913259,.18181819,.34377959,212026
